YEAR,OPID,OTT 서비스 주중 이용 시간(분 기준 환산),OTT 서비스 주말 이용 시간(분 기준 환산)
2022,12460001,,
2022,12460002,,
2022,12460003,10,10
2022,12460005,10,10
2022,12470001,,
2022,12470002,,
2022,12470003,30,30
2022,12470004,10,30
2022,12480001,,
2022,12480002,,
2022,12490001,120,60
2022,12490002,,
2022,12490004,60,120
2022,12490005,60,140
2022,12500001,,
2022,12500002,,
2022,12500003,30,60
2022,12500004,30,60
2022,12510001,120,60
2022,12510002,10,10
2022,12510003,10,30
2022,12510004,120,240
2022,12520001,,
2022,12520002,,
2022,12520003,120,60
2022,12520004,,
2022,12570001,,
2022,12570002,,
2022,12570003,60,60
2022,12580001,,
2022,12580002,,
2022,12590001,,
2022,12590002,,
2022,12590003,90,150
2022,1260001,,
2022,1260002,,
2022,12610001,30,90
2022,12610002,60,30
2022,12610003,60,30
2022,12650001,,
2022,12650002,,
2022,12650003,120,120
2022,12660001,,
2022,12660002,60,120
2022,12690001,,
2022,12690002,,
2022,12690003,10,15
2022,12690004,60,60
2022,1270001,,
2022,1270002,,
2022,12730001,10,10
2022,12740001,,
2022,12740002,,
2022,12760001,5,0
2022,12760002,,
2022,12760003,5,10
2022,12760004,,
2022,12760005,,
2022,12770001,,
2022,12780002,30,60
2022,12780003,120,60
2022,12780005,60,60
2022,12790002,10,5
2022,12790003,,
2022,12800002,10,10
2022,12800003,10,10
2022,1280001,,
2022,12810001,10,10
2022,12810002,10,15
2022,12810003,10,20
2022,12810004,,
2022,12830001,10,10
2022,12830002,15,15
2022,12830003,,
2022,12830004,,
2022,12840002,,
2022,12840003,,
2022,12850002,,
2022,12850003,,
2022,12850004,,
2022,12860001,10,20
2022,12860002,10,10
2022,12860003,10,20
2022,12860004,10,20
2022,12870001,30,30
2022,12870002,10,15
2022,12880001,10,10
2022,12880002,10,20
2022,12880003,,
2022,12900001,30,30
2022,12900002,5,5
2022,12900003,30,30
2022,1290001,,
2022,1290002,,
2022,1290003,30,30
2022,12910001,30,30
2022,12910002,30,30
2022,12930001,30,30
2022,12930002,,
2022,12960001,,
2022,12960002,,
2022,12980001,30,30
2022,12980002,30,30
2022,12990001,,
2022,12990002,,
2022,12990003,15,30
2022,13000001,,
2022,13000002,15,15
2022,1300001,,
2022,1300002,,
2022,1300004,20,30
2022,130001,,
2022,130002,,
2022,13010004,10,10
2022,13010005,,
2022,13040001,,
2022,13040002,,
2022,13060001,,
2022,13060002,30,40
2022,13060003,20,30
2022,13070001,,
2022,13070002,,
2022,13080001,,
2022,13080002,30,40
2022,13090001,,
2022,13090002,,
2022,13100001,,
2022,1310001,,
2022,1310002,,
2022,13110001,,
2022,13130001,,
2022,13130002,,
2022,13140001,,
2022,13150001,10,10
2022,13150002,5,10
2022,13150003,,
2022,13150004,20,40
2022,13160001,,
2022,13160004,30,30
2022,13170001,10,80
2022,13170002,10,10
2022,13180001,10,10
2022,13180002,90,120
2022,13180003,120,120
2022,13180004,60,60
2022,13190003,40,60
2022,13190004,40,30
2022,13190005,40,30
2022,13200002,10,15
2022,1320001,,
2022,1320002,,
2022,1320101,30,30
2022,1320102,30,30
2022,13210001,,
2022,13210002,,
2022,13220001,20,30
2022,13220002,30,30
2022,13230001,,
2022,13230002,,
2022,13240001,,
2022,13250001,90,60
2022,13260001,,
2022,13270001,,
2022,13290001,20,30
2022,13290002,30,40
2022,13290003,20,20
2022,1330001,,
2022,13340001,,
2022,13340002,,
2022,13340003,20,30
2022,13350001,,
2022,13350002,,
2022,13360001,,
2022,13360002,,
2022,13380001,,
2022,13400001,,
2022,1340001,30,60
2022,1340002,,
2022,1340003,,
2022,1340004,,
2022,13410001,30,20
2022,13410002,20,30
2022,13420001,,
2022,13430002,10,0
2022,13440001,,
2022,13440002,,
2022,13450001,20,40
2022,13450002,,
2022,13450003,20,40
2022,13460001,30,40
2022,13460002,15,30
2022,13480001,30,60
2022,13480002,30,20
2022,13490001,,
2022,13490003,20,20
2022,13490004,60,90
2022,13490005,40,70
2022,13490006,40,60
2022,13490007,60,60
2022,13490008,40,60
2022,13500001,40,40
2022,13500002,40,40
2022,13500003,,
2022,13500004,40,80
2022,13500005,60,100
2022,1350001,,
2022,13510002,60,60
2022,13510003,30,30
2022,13510004,30,30
2022,13520001,,
2022,13520002,,
2022,13530001,,
2022,13530002,,
2022,13550001,60,180
2022,13560001,,
2022,13560002,,
2022,13560003,120,240
2022,13560006,,
2022,13570001,,
2022,13570002,,
2022,13580001,,
2022,13580002,90,60
2022,13580003,30,60
2022,13580004,180,300
2022,13590001,,
2022,13590002,,
2022,13590003,60,180
2022,13590004,60,120
2022,13600002,,
2022,13600003,20,20
2022,13600004,15,20
2022,13600005,10,20
2022,1360001,,
2022,1360002,,
2022,13610001,40,40
2022,13610002,10,30
2022,13610003,60,90
2022,13610004,60,60
2022,13630001,30,60
2022,13630002,,
2022,13640001,,
2022,13640002,,
2022,13660001,,
2022,13660002,,
2022,13660003,180,180
2022,13660004,180,180
2022,13700001,,
2022,13700002,,
2022,13700003,30,60
2022,13700004,30,60
2022,13740001,,
2022,13750001,,
2022,13750002,,
2022,13760001,,
2022,13760002,,
2022,13760003,15,20
2022,13780001,,
2022,13780002,,
2022,13780005,120,120
2022,13780006,30,60
2022,13790001,,
2022,13790002,,
2022,13790003,10,30
2022,1380001,,
2022,1380002,,
2022,13820001,,
2022,13820002,,
2022,13820003,5,10
2022,13820004,20,25
2022,13830001,,
2022,13830002,,
2022,13830003,30,60
2022,13830004,30,60
2022,13840001,,
2022,13840002,,
2022,13840003,15,30
2022,13840004,20,30
2022,13860001,,
2022,13860002,,
2022,13870001,,
2022,13870002,10,10
2022,13890001,30,30
2022,13890002,10,10
2022,13890003,30,30
2022,13900001,20,20
2022,13900002,20,20
2022,13900003,30,30
2022,13940001,,
2022,13940002,20,20
2022,13940003,20,30
2022,13950001,30,80
2022,13950002,30,30
2022,13950003,30,30
2022,13950004,30,10
2022,13960001,10,0
2022,13960002,10,0
2022,13960003,20,30
2022,13970001,30,210
2022,13970002,,
2022,13970003,30,50
2022,13970004,30,30
2022,13980001,,
2022,13980002,,
2022,13990001,20,20
2022,13990002,,
2022,13990003,30,60
2022,13990004,30,30
2022,14000001,,
2022,14000002,,
2022,140001,20,20
2022,14020001,,
2022,14020002,,
2022,14030001,20,20
2022,14030003,60,60
2022,14040001,,
2022,14060001,30,30
2022,14070001,,
2022,14080001,,
2022,14090001,,
2022,14090002,,
2022,14090004,40,90
2022,14110002,,
2022,14130001,,
2022,14130002,,
2022,14160001,,
2022,14170001,,
2022,14170002,,
2022,14180001,,
2022,14200001,,
2022,14240002,,
2022,14240003,30,30
2022,14240004,1,5
2022,14260001,10,15
2022,14260002,30,60
2022,14260003,10,10
2022,14260004,40,60
2022,14300001,5,5
2022,14300004,10,10
2022,14330002,,
2022,14340001,30,60
2022,14340002,30,30
2022,14340004,30,30
2022,14340005,20,20
2022,14360002,10,10
2022,14360003,3,30
2022,14360004,30,30
2022,14360005,20,30
2022,14370002,,
2022,14370003,10,30
2022,14370004,10,10
2022,14380002,,
2022,14380003,0,30
2022,14380004,60,60
2022,14400002,20,10
2022,14410001,40,60
2022,14430001,,
2022,14430002,,
2022,14460001,,
2022,14460002,,
2022,14470001,30,10
2022,14470002,20,20
2022,14470003,20,80
2022,14480002,,
2022,14480003,30,30
2022,14490001,,
2022,14490002,,
2022,14530001,,
2022,14530002,,
2022,14540001,50,50
2022,14540002,30,30
2022,14540003,,
2022,14550002,,
2022,14560001,30,30
2022,14560002,40,80
2022,14560003,60,100
2022,14580001,30,30
2022,14580002,40,20
2022,14590001,40,60
2022,14590002,20,20
2022,14590003,40,40
2022,14600001,,
2022,14600002,20,20
2022,14620001,,
2022,14620002,,
2022,14620003,40,80
2022,14630001,,
2022,14640002,30,30
2022,14650001,,
2022,14650002,,
2022,14660001,,
2022,14660002,10,10
2022,14660003,30,30
2022,14670002,5,10
2022,14700001,,
2022,14700002,,
2022,14700003,60,60
2022,14700004,30,60
2022,14710001,,
2022,14710002,10,30
2022,14730002,,
2022,14730003,,
2022,14730004,,
2022,14740001,,
2022,14740002,,
2022,14740003,60,60
2022,14740004,30,30
2022,14750001,,
2022,14750002,,
2022,14760003,,
2022,14770001,,
2022,14770002,,
2022,14770003,60,60
2022,14770004,60,60
2022,14780002,30,30
2022,14790001,,
2022,14790002,30,30
2022,14810001,10,15
2022,14810002,10,10
2022,14820001,,
2022,14820002,,
2022,14820003,20,20
2022,14830001,10,10
2022,14830002,,
2022,14830003,20,20
2022,14840001,10,10
2022,14840002,10,10
2022,14850001,30,30
2022,14850002,10,10
2022,14850003,20,20
2022,14860001,10,10
2022,14860002,15,15
2022,14860003,20,20
2022,14870001,,
2022,14870002,,
2022,14870004,20,20
2022,14880001,10,30
2022,14880002,10,5
2022,14880003,20,20
2022,14900001,15,20
2022,14900002,20,30
2022,14910001,30,30
2022,14920001,,
2022,14920002,,
2022,14930001,90,60
2022,14930002,90,60
2022,14940001,10,15
2022,14940002,20,20
2022,14950001,10,0
2022,14950002,20,10
2022,14950003,30,40
2022,14970001,35,35
2022,14970002,30,30
2022,14970003,30,30
2022,1500002,,
2022,1500003,30,30
2022,1500004,,
2022,1510001,,
2022,1510002,,
2022,1510003,,
2022,15110002,10,20
2022,15110004,,
2022,15120001,10,15
2022,15120002,10,10
2022,15120003,10,20
2022,15120004,10,20
2022,15130001,,
2022,15130002,,
2022,15130003,,
2022,15140001,,
2022,15140002,40,40
2022,15150001,,
2022,15150002,,
2022,15150003,,
2022,15160001,30,30
2022,15160002,10,0
2022,15160003,20,40
2022,15160004,20,30
2022,15170001,,
2022,15180002,30,60
2022,15190001,,
2022,15190002,,
2022,15200001,,
2022,15200002,30,30
2022,15200003,20,30
2022,15200004,,
2022,15200005,,
2022,15200006,,
2022,1520002,,
2022,1520004,30,30
2022,1520005,,
2022,15210001,,
2022,15220001,,
2022,15230001,,
2022,15230002,60,80
2022,15230003,60,80
2022,15230004,60,90
2022,15230005,60,60
2022,15230006,30,60
2022,15250001,,
2022,15250002,,
2022,15260001,,
2022,15260002,,
2022,15270001,,
2022,15270002,,
2022,15270003,,
2022,15280001,,
2022,15280002,,
2022,15280003,15,20
2022,15290001,,
2022,15300001,,
2022,15300002,,
2022,15300003,60,120
2022,15300004,120,300
2022,1530001,,
2022,1530002,,
2022,1530003,,
2022,15310001,,
2022,15330001,,
2022,15340001,30,90
2022,15340002,30,30
2022,15340003,40,60
2022,15340004,40,80
2022,15390001,40,60
2022,15390002,20,15
2022,15400001,,
2022,15400002,15,30
2022,1540001,,
2022,1540002,,
2022,1540003,,
2022,15410001,,
2022,15410002,10,30
2022,15410003,30,40
2022,15420002,10,10
2022,15470002,,
2022,15480001,60,90
2022,15480002,20,20
2022,15480003,40,40
2022,15480004,40,60
2022,1550001,30,30
2022,15530001,,
2022,15530002,,
2022,15540001,,
2022,15550001,,
2022,15560001,,
2022,15560002,10,20
2022,15560003,30,30
2022,15560004,30,40
2022,15590002,,
2022,15590004,,
2022,15590005,,
2022,15600001,10,10
2022,15600002,10,10
2022,15600003,10,10
2022,1560001,,
2022,15610001,30,60
2022,15610002,,
2022,15610003,,
2022,15610004,180,240
2022,15630001,,
2022,15630002,,
2022,15630101,15,15
2022,15630103,5,5
2022,15630201,90,120
2022,15640001,,
2022,15640002,,
2022,15640003,60,60
2022,15650001,1,1
2022,15650002,,
2022,15650003,30,30
2022,15650004,,
2022,15650005,60,120
2022,15680001,10,10
2022,15680002,,
2022,15680003,10,60
2022,15680004,60,60
2022,1570001,10,10
2022,15710001,,
2022,15710002,,
2022,15710003,30,90
2022,15710004,120,270
2022,15720003,10,10
2022,15720004,180,180
2022,15720005,,
2022,15720006,,
2022,15720101,,
2022,15730001,,
2022,15730002,,
2022,15730007,30,3
2022,15730008,,
2022,15730101,20,30
2022,15730102,10,10
2022,15730103,,
2022,15730104,5,5
2022,15750002,,
2022,15750101,,
2022,15750102,5,5
2022,15750103,60,60
2022,15750104,,
2022,15760001,,
2022,15760002,30,10
2022,15760003,,
2022,15760004,220,205
2022,15770001,30,20
2022,15770002,,
2022,15770004,360,360
2022,15780001,,
2022,1580001,10,0
2022,15860002,,
2022,15860003,110,170
2022,15890001,30,60
2022,1590001,10,30
2022,1590002,30,30
2022,1590003,60,60
2022,1600001,30,30
2022,160001,,
2022,160002,,
2022,16080003,5,5
2022,16100001,,
2022,16100002,20,30
2022,16100005,,
2022,1610001,,
2022,1610002,10,30
2022,16100101,60,60
2022,16100102,40,50
2022,16100201,60,120
2022,16110001,,
2022,16120001,30,30
2022,16130001,15,15
2022,16130002,10,30
2022,16140001,15,15
2022,16140002,15,15
2022,16150001,10,10
2022,16150002,10,15
2022,16150003,20,30
2022,16180001,20,20
2022,16180002,20,20
2022,16180003,15,15
2022,16190001,5,5
2022,16200001,30,30
2022,16200002,30,30
2022,16200003,20,30
2022,1620001,60,90
2022,16210001,,
2022,16210002,,
2022,16220001,,
2022,16220002,,
2022,16240001,,
2022,16240002,10,10
2022,16250001,,
2022,16250002,,
2022,16250003,30,30
2022,16260001,20,20
2022,16260002,20,20
2022,16280001,10,10
2022,16280002,10,10
2022,16280003,10,10
2022,16290001,,
2022,16290002,,
2022,16300001,10,10
2022,1630001,20,20
2022,1630002,30,30
2022,1630003,30,30
2022,16310001,,
2022,16310002,,
2022,16310003,10,30
2022,16310004,30,30
2022,16320001,,
2022,16320002,,
2022,16320003,30,30
2022,16320004,,
2022,16340001,5,5
2022,16340002,240,120
2022,16340003,60,120
2022,16340004,180,120
2022,1640001,30,30
2022,1640002,60,60
2022,16420001,,
2022,16420002,,
2022,16420003,30,30
2022,16420004,,
2022,16440001,,
2022,16440002,,
2022,16470001,,
2022,16470002,,
2022,16470003,60,120
2022,16470004,5,3
2022,16470005,,
2022,1650001,30,60
2022,1650002,60,60
2022,16510001,,
2022,16510002,,
2022,16510003,10,30
2022,16520001,,
2022,16520002,30,30
2022,16520003,60,180
2022,16520004,240,360
2022,16550001,,
2022,16550002,,
2022,16550003,,
2022,16560001,,
2022,16560002,,
2022,16570001,,
2022,16570002,,
2022,16580001,,
2022,16580002,,
2022,16580003,,
2022,16580004,,
2022,16600001,,
2022,1660001,60,60
2022,1660002,60,60
2022,1660003,120,120
2022,16610001,,
2022,16610002,,
2022,1670001,60,60
2022,1670002,60,60
2022,1670003,30,30
2022,16740002,10,10
2022,16760001,,
2022,16760002,,
2022,16770001,,
2022,16770002,120,120
2022,16780001,,
2022,16790003,,
2022,16790005,60,120
2022,1680002,60,60
2022,1680003,30,30
2022,1680004,60,60
2022,16810002,,
2022,16820001,,
2022,16820002,,
2022,16830001,,
2022,16850001,,
2022,16850002,,
2022,16880001,,
2022,16880002,,
2022,1690001,60,30
2022,1690002,60,60
2022,1700001,30,30
2022,1700002,60,60
2022,1700003,30,0
2022,17030002,10,10
2022,17030003,,
2022,17030004,10,20
2022,17040001,,
2022,17040002,40,30
2022,17060001,,
2022,17070001,,
2022,17070002,,
2022,17070003,20,20
2022,17070004,30,20
2022,17080001,,
2022,17080002,30,40
2022,17080003,30,40
2022,17090001,,
2022,17100002,,
2022,1710001,40,30
2022,1710002,60,60
2022,17110001,,
2022,17110002,,
2022,17110003,,
2022,17110004,10,20
2022,17120001,10,15
2022,17120002,20,0
2022,17120003,20,20
2022,17130001,,
2022,17130002,,
2022,17130003,20,30
2022,17130004,20,30
2022,17140001,,
2022,17140002,30,30
2022,1720001,60,60
2022,1720002,90,120
2022,1720003,30,30
2022,17220001,20,10
2022,17220002,,
2022,17220004,20,30
2022,17220005,20,40
2022,17220006,,
2022,1730001,30,30
2022,1730002,30,60
2022,17370001,10,10
2022,17370002,15,10
2022,17370003,5,10
2022,17390002,,
2022,17400001,20,20
2022,17400002,10,10
2022,17400004,10,10
2022,1740001,10,10
2022,1740002,10,10
2022,1740003,30,30
2022,1740004,30,30
2022,17400101,10,10
2022,17430001,10,10
2022,17430002,,
2022,17430003,20,20
2022,17440001,10,10
2022,17440002,,
2022,17440003,30,30
2022,17450001,,
2022,17450002,10,10
2022,17450003,10,10
2022,17450004,15,15
2022,17470001,30,30
2022,17470002,60,60
2022,17470003,30,30
2022,17470004,30,30
2022,17480001,,
2022,17490001,,
2022,17490002,,
2022,17490003,30,30
2022,17490004,20,30
2022,17500001,,
2022,17500002,,
2022,17510002,,
2022,17550001,20,30
2022,17550002,10,20
2022,17550003,30,30
2022,17570001,10,10
2022,17570002,,
2022,17570003,30,60
2022,17580001,30,10
2022,17580002,,
2022,17580003,30,30
2022,17580004,30,30
2022,17580005,30,30
2022,1760001,60,30
2022,1760002,60,120
2022,1760003,30,30
2022,1760004,300,300
2022,17610001,10,10
2022,17610002,,
2022,17610003,60,60
2022,17620001,,
2022,17620002,30,30
2022,17620003,30,20
2022,17630001,,
2022,17630002,,
2022,17630003,60,60
2022,17650001,,
2022,17650002,,
2022,17670001,,
2022,17670002,0,10
2022,17670003,10,30
2022,17670004,10,30
2022,17690001,,
2022,17690002,,
2022,17690003,20,30
2022,17690005,20,20
2022,1770001,30,30
2022,1770002,60,60
2022,1770003,30,30
2022,1770004,90,90
2022,17720001,,
2022,17720002,,
2022,17740001,240,240
2022,17740002,180,120
2022,17740003,60,120
2022,17740004,60,60
2022,17750001,,
2022,17750002,,
2022,17750003,,
2022,17750004,,
2022,17770001,,
2022,17770002,60,30
2022,17770003,60,300
2022,17770004,60,60
2022,17800001,,
2022,17800002,,
2022,17800003,,
2022,17860001,20,20
2022,17860002,10,10
2022,17860003,15,15
2022,17860004,10,10
2022,17880001,,
2022,17880002,,
2022,17900001,,
2022,17900002,,
2022,17900004,10,10
2022,17900005,10,20
2022,17900006,,
2022,17900101,15,15
2022,17900102,15,15
2022,17950002,10,10
2022,17960002,,
2022,17990001,,
2022,1800001,40,40
2022,1800002,30,30
2022,1800003,30,30
2022,1800004,,
2022,1800005,,
2022,180001,,
2022,18020002,5,5
2022,18030001,10,10
2022,18030002,10,15
2022,18030003,15,15
2022,18030004,10,10
2022,18040001,15,30
2022,18040002,20,40
2022,18040003,10,15
2022,18040004,30,60
2022,18060002,,
2022,18070001,10,10
2022,18070002,10,10
2022,18070003,10,20
2022,18080001,30,30
2022,18080002,,
2022,18080003,40,60
2022,18080004,130,60
2022,18080005,30,30
2022,18090001,,
2022,18090002,,
2022,18090003,20,30
2022,18100001,10,20
2022,18100002,5,5
2022,18100003,10,10
2022,18100004,5,20
2022,18110001,5,10
2022,18110002,20,30
2022,18110003,10,10
2022,18130002,10,10
2022,18160002,,
2022,18170002,,
2022,18180001,20,20
2022,18180002,30,30
2022,18200001,5,5
2022,18200002,5,5
2022,18200003,10,10
2022,18210001,,
2022,18210002,10,10
2022,18230001,10,10
2022,18240002,,
2022,18250001,10,10
2022,18250002,10,10
2022,18260002,30,40
2022,18280001,,
2022,18280002,20,30
2022,18290001,,
2022,18290002,,
2022,18300002,,
2022,18310001,,
2022,18320001,,
2022,18330001,40,60
2022,18330002,30,60
2022,18340001,40,80
2022,18340002,20,10
2022,18340003,30,30
2022,18360001,,
2022,18360002,,
2022,18360003,60,60
2022,18360004,,
2022,18360005,,
2022,18380001,,
2022,18380002,20,30
2022,18390001,,
2022,18390002,,
2022,18400001,,
2022,18400002,,
2022,18400003,40,40
2022,18400004,20,30
2022,1840001,,
2022,1840002,10,10
2022,18410001,,
2022,18410002,,
2022,18420001,20,30
2022,18420002,10,30
2022,18420003,10,30
2022,18430001,,
2022,18440001,20,40
2022,18440002,20,35
2022,18460005,30,60
2022,18470001,,
2022,18470002,,
2022,18480001,,
2022,18480002,20,35
2022,1850001,30,30
2022,1850002,,
2022,1850003,30,60
2022,1850004,90,180
2022,1850005,120,120
2022,18540001,,
2022,18540002,10,0
2022,18540003,30,30
2022,18540004,,
2022,18610001,,
2022,18620001,,
2022,18620002,,
2022,18640001,,
2022,18640002,,
2022,18640003,30,40
2022,18660002,,
2022,18690001,,
2022,18700001,,
2022,18700002,,
2022,18700003,20,40
2022,1870001,,
2022,1870002,,
2022,1870003,120,180
2022,1870004,30,60
2022,18710001,10,10
2022,18710002,5,10
2022,18710003,30,40
2022,18710004,30,40
2022,18720001,,
2022,18720002,,
2022,18720003,30,40
2022,18720004,30,40
2022,18730001,,
2022,18740001,,
2022,18750001,,
2022,18750002,,
2022,18750003,,
2022,18750004,,
2022,18750005,,
2022,18760001,,
2022,18770002,,
2022,18780001,,
2022,18780002,,
2022,1880001,20,20
2022,1880002,10,10
2022,1880003,60,60
2022,1880004,,
2022,1880005,,
2022,18820001,,
2022,18830001,,
2022,18830002,,
2022,18840001,,
2022,18840002,,
2022,18850002,,
2022,18850003,30,30
2022,18850004,,
2022,18860001,10,10
2022,18860002,5,5
2022,18860003,20,30
2022,18860004,,
2022,18870001,10,10
2022,18870002,10,5
2022,18870003,10,10
2022,18890001,10,10
2022,18890002,10,10
2022,18890003,10,15
2022,1890001,,
2022,1890002,,
2022,18920001,10,15
2022,18920002,10,15
2022,18920003,30,60
2022,18920004,10,20
2022,18930001,5,10
2022,18930002,5,5
2022,18940001,,
2022,18940002,,
2022,18950001,,
2022,18950002,,
2022,18960002,30,30
2022,18970001,30,30
2022,18970002,60,60
2022,18980002,,
2022,18990001,,
2022,18990002,,
2022,19000001,,
2022,19000002,,
2022,19010001,,
2022,19010003,,
2022,19020002,30,30
2022,19030001,,
2022,19030002,,
2022,19050001,,
2022,19060001,30,30
2022,19060002,20,10
2022,19070001,,
2022,19070002,,
2022,19070003,30,40
2022,19080001,,
2022,19080002,,
2022,19090001,15,30
2022,19090002,20,40
2022,19100001,,
2022,19110004,0,10
2022,19120002,,
2022,19130003,30,40
2022,19170003,5,5
2022,19170004,5,10
2022,19170005,5,10
2022,19170006,15,10
2022,19200001,15,15
2022,19200002,15,15
2022,19200003,10,10
2022,19200101,15,15
2022,19200102,15,10
2022,19230001,15,15
2022,19230002,15,10
2022,19230003,10,10
2022,19230004,10,10
2022,19250001,,
2022,19280001,,
2022,19280002,10,20
2022,19280003,30,30
2022,19300001,,
2022,19300002,,
2022,19300003,30,60
2022,19300004,60,60
2022,19310001,10,10
2022,19310002,,
2022,19310003,30,30
2022,19320001,,
2022,19320002,,
2022,19340001,10,20
2022,19340003,30,30
2022,19350001,,
2022,19370001,5,5
2022,19370002,,
2022,19380001,10,5
2022,19380002,5,10
2022,19380101,10,20
2022,19380102,10,10
2022,19380103,30,20
2022,19400001,,
2022,19440001,30,30
2022,19440002,5,5
2022,19440003,60,90
2022,19440004,30,60
2022,19470001,,
2022,19470002,240,480
2022,19470003,270,510
2022,19470004,200,420
2022,19500001,,
2022,19500002,,
2022,19570001,60,60
2022,19570002,60,90
2022,19570003,120,120
2022,19570004,120,210
2022,19630001,,
2022,19630002,,
2022,19630003,30,30
2022,19630004,30,30
2022,19650001,,
2022,19650002,30,40
2022,19650003,20,20
2022,19660001,30,20
2022,19660002,10,10
2022,19660003,30,20
2022,19660004,20,20
2022,19670001,10,20
2022,19670002,30,40
2022,19670003,20,30
2022,19670004,30,30
2022,19680001,,
2022,19680002,20,20
2022,19680003,10,20
2022,19690001,20,20
2022,19690002,10,0
2022,19690003,10,10
2022,19710001,,
2022,19710002,,
2022,19710003,20,20
2022,19710004,15,15
2022,19730001,15,30
2022,19730002,20,30
2022,19730003,20,20
2022,19740001,20,10
2022,19740002,10,10
2022,19740003,10,10
2022,19740004,10,20
2022,19750001,,
2022,19750002,,
2022,19750003,20,10
2022,19750004,30,20
2022,19780001,10,10
2022,19780002,,
2022,19780003,20,10
2022,1980001,,
2022,19820001,20,30
2022,19820002,,
2022,19820003,10,10
2022,19820004,10,10
2022,19830001,,
2022,19840001,10,10
2022,19840002,10,20
2022,19840003,10,10
2022,19890001,,
2022,19890002,,
2022,19900002,,
2022,1990001,,
2022,1990002,,
2022,1990003,20,30
2022,1990004,20,30
2022,19930001,,
2022,19930002,,
2022,19940002,,
2022,19960001,10,10
2022,19960002,10,10
2022,19970001,10,10
2022,19970002,10,10
2022,19970003,15,15
2022,19990001,10,10
2022,19990002,15,15
2022,20000001,,
2022,20000002,10,10
2022,2000001,,
2022,2000002,,
2022,2000003,20,30
2022,2000004,30,20
2022,2000005,30,30
2022,20001,30,60
2022,20003,60,60
2022,20010001,10,10
2022,20020002,,
2022,20030002,,
2022,20060001,,
2022,20060002,,
2022,20070001,10,10
2022,20070002,10,10
2022,20070003,60,60
2022,20070004,30,30
2022,20070005,30,30
2022,20090003,60,60
2022,20100001,30,30
2022,20100002,10,10
2022,20100003,30,60
2022,2010001,,
2022,2010002,30,30
2022,20110001,,
2022,20110002,30,60
2022,20130001,,
2022,20130002,,
2022,20140001,,
2022,20140002,20,20
2022,20160001,,
2022,20170001,,
2022,20170003,40,60
2022,20180001,20,40
2022,20180002,20,30
2022,20180003,10,30
2022,20190002,,
2022,20200003,,
2022,20210001,,
2022,20220001,,
2022,20230002,30,60
2022,20240001,,
2022,20240002,,
2022,20250001,,
2022,20250002,,
2022,20250003,,
2022,20270001,20,20
2022,20270002,10,10
2022,20270003,30,30
2022,20280001,30,30
2022,20280002,30,30
2022,20280003,10,10
2022,20290001,30,40
2022,20290002,20,40
2022,2030001,,
2022,2030002,,
2022,2030003,20,30
2022,2030004,30,30
2022,20320002,,
2022,20340001,10,30
2022,20340002,60,30
2022,20340003,,
2022,20340004,,
2022,20340101,,
2022,20340102,,
2022,20370001,,
2022,20370002,,
2022,20380001,,
2022,20380002,5,10
2022,20380003,20,30
2022,20400001,20,20
2022,20400002,10,10
2022,2040001,,
2022,20430002,,
2022,20440001,5,5
2022,20440002,5,5
2022,20450001,30,30
2022,20450002,60,120
2022,20460001,,
2022,20460002,10,10
2022,20470001,,
2022,20470002,,
2022,20480002,,
2022,20490001,,
2022,20490002,,
2022,20490004,60,90
2022,20490101,60,60
2022,2050001,30,30
2022,20510001,,
2022,20510002,,
2022,20520001,60,90
2022,20520003,30,30
2022,20520004,,
2022,20520101,40,60
2022,20530001,5,5
2022,20530002,10,10
2022,20530003,10,10
2022,20530101,20,20
2022,20540001,20,40
2022,20540002,5,15
2022,20540004,10,10
2022,20540005,,
2022,20540006,15,15
2022,20540101,20,20
2022,20550001,,
2022,20550002,,
2022,20560001,20,40
2022,20560002,20,40
2022,20560003,30,40
2022,20560004,10,20
2022,20590001,,
2022,20590002,15,15
2022,20590003,20,30
2022,20590004,20,20
2022,20600001,,
2022,20600002,30,60
2022,20600003,10,10
2022,2060001,,
2022,20620001,,
2022,20620002,,
2022,20620003,10,10
2022,20620005,,
2022,20620101,20,20
2022,20630001,10,20
2022,20630002,10,10
2022,20640001,10,10
2022,20640002,5,5
2022,20640003,10,20
2022,20640004,20,20
2022,20650002,,
2022,20660001,10,10
2022,20660002,,
2022,20660003,10,10
2022,20670001,,
2022,20670002,,
2022,20680001,5,15
2022,20680002,20,20
2022,20680004,10,10
2022,20690001,10,10
2022,20690002,10,10
2022,20690003,20,40
2022,20690004,20,40
2022,2070001,,
2022,2070002,5,10
2022,2070003,30,40
2022,20710001,120,120
2022,20720001,,
2022,20720002,10,10
2022,20720101,20,20
2022,20720102,10,10
2022,20730001,,
2022,20750002,30,60
2022,20760002,,
2022,20760003,,
2022,20760004,60,60
2022,20770001,,
2022,20770002,,
2022,20770003,60,120
2022,20770004,10,30
2022,20780002,,
2022,20790001,,
2022,20790002,,
2022,20800001,120,30
2022,2080001,,
2022,2080002,30,30
2022,2080003,30,60
2022,2080004,30,30
2022,20810001,20,30
2022,20830001,,
2022,20830002,120,120
2022,20830003,,
2022,20830004,120,180
2022,20830005,60,180
2022,20840001,30,30
2022,20840002,30,30
2022,20840003,300,300
2022,20890001,,
2022,20890002,,
2022,20980003,10,10
2022,20980005,,
2022,2100001,,
