gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,No,No,50,Yes,No phone service,DSL,Yes,No,No,No internet service,No,No,Month-to-month,No,Electronic check,79.55,3875.53,0
Female,0,Yes,No,36,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),118.43,4271.07,1
Female,0,No,Yes,32,Yes,Yes,DSL,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Credit card (automatic),54.88,1657.93,0
Female,0,No,No,12,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),100.94,1036.85,1
Male,0,No,Yes,27,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,One year,Yes,Mailed check,50.48,1332.59,0
Female,0,Yes,No,17,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,99.52,1547.61,0
Male,0,Yes,No,22,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,79.27,1683.77,1
Female,0,No,Yes,49,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,40.07,1890.7,1
Male,0,Yes,No,46,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Mailed check,60.23,2700.88,0
Female,0,No,No,44,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,50.4,2377.68,1
Male,0,Yes,No,26,Yes,No,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),25.97,679.73,0
Female,1,No,Yes,70,No,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,21.04,1492.43,0
Male,0,Yes,No,6,Yes,No phone service,No,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,53.34,177.93,0
Female,0,No,No,25,No,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,One year,No,Mailed check,19.94,446.18,0
Male,0,No,No,8,Yes,No,DSL,No,No,No,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),34.88,296.26,0
Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.97,2125.32,1
Male,0,Yes,Yes,70,Yes,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,90.23,6388.75,0
Female,0,Yes,No,26,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),93.34,2330.62,1
Male,0,Yes,No,66,Yes,Yes,DSL,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),50.35,3300.19,0
Male,0,No,No,36,Yes,Yes,No,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Mailed check,108.78,3869.2,1
Female,1,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Credit card (automatic),78.57,4020.22,1
Male,0,No,No,33,Yes,No phone service,No,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),30.85,966.81,0
Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,Two year,No,Electronic check,32.66,598.87,0
Female,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),88.7,4859.61,0
Female,0,No,No,70,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,35.64,2436.05,1
Female,0,Yes,Yes,19,No,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No internet service,One year,No,Electronic check,69.74,1363.87,1
Female,0,Yes,Yes,56,Yes,No phone service,DSL,No internet service,No internet service,No,No,No internet service,No,Two year,Yes,Mailed check,119.16,6692.03,0
Male,0,No,No,19,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,18.41,342.7,0
Male,0,No,Yes,52,Yes,Yes,DSL,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),19.69,989.44,0
Male,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),119.29,6863.25,1
Female,0,No,Yes,32,No,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,77.63,2465.29,0
Female,0,No,No,53,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,30.94,1615.28,0
Male,0,No,No,19,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,Yes,One year,No,Credit card (automatic),109.52,2089.26,0
Female,0,Yes,No,5,No,No phone service,No,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),107.8,674.73,1
Male,0,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),72.69,401.6,1
Male,0,Yes,No,32,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),81.42,2667.03,0
Female,1,No,No,65,Yes,No,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),45.87,2830.1,1
Female,0,No,Yes,9,Yes,Yes,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,23.15,225.73,1
Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,Two year,No,Bank transfer (automatic),78.65,2721.46,0
Female,0,No,Yes,51,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),48.07,2490.66,0
Female,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,85.69,1213.31,1
Female,0,No,Yes,52,No,No phone service,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),103.3,5326.76,0
Male,0,No,No,22,No,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,19.85,439.18,0
Male,0,No,No,59,Yes,Yes,No,No,Yes,No internet service,No,Yes,No,One year,No,Electronic check,78.76,4626.67,0
Female,0,No,No,42,Yes,Yes,No,No,Yes,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),41.59,1683.9,1
Male,0,No,No,39,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Mailed check,107.14,4155.27,0
Male,0,Yes,Yes,12,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,43.87,542.31,1
Male,0,Yes,Yes,33,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,No internet service,One year,No,Bank transfer (automatic),80.3,2588.52,1
Male,0,No,No,62,Yes,Yes,DSL,No,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),74.46,4552.02,0
Female,0,Yes,No,1,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),58.41,0.0,1
Male,0,Yes,Yes,55,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,One year,No,Credit card (automatic),87.12,4822.86,0
Male,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),92.03,3264.68,0
Female,0,No,No,52,Yes,No phone service,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,75.83,3961.69,0
Male,0,No,Yes,48,No,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,95.36,4654.49,1
Male,0,No,No,31,Yes,No,No,No,No internet service,No,No internet service,Yes,No,One year,No,Mailed check,118.31,3674.64,0
Male,0,No,Yes,22,Yes,No,No,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,60.77,1368.3,1
Female,1,No,Yes,45,Yes,No,DSL,No internet service,No,No internet service,No,No,No internet service,One year,Yes,Mailed check,70.49,3196.36,0
Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,19.27,185.38,1
Female,0,No,Yes,42,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,99.19,4123.51,1
Male,0,Yes,No,6,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,One year,No,Electronic check,71.06,603.49,0
Female,0,No,No,47,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),59.61,2765.51,0
Male,0,Yes,No,45,Yes,Yes,No,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,27.6,1188.73,1
Female,0,No,No,6,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,No,One year,Yes,Credit card (automatic),108.74,687.16,0
Male,0,No,No,55,Yes,No phone service,DSL,No,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,58.29,3226.1,1
Female,0,No,No,30,Yes,Yes,No,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,87.62,2516.22,0
Male,0,No,No,57,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,33.24,1984.49,0
Male,1,No,No,3,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),116.08,340.7,0
Male,0,No,No,13,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),36.2,381.73,0
Male,0,Yes,Yes,36,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,38.35,1475.7,1
Male,1,Yes,No,13,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,No,Mailed check,105.62,1423.11,1
Female,0,No,No,24,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),111.08,2564.76,0
Male,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,Yes,Electronic check,39.64,2044.89,0
Male,0,Yes,No,10,Yes,No phone service,DSL,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),65.92,711.9,1
Female,1,No,No,49,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),92.82,4547.36,0
Male,0,No,Yes,7,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,107.59,880.35,1
Male,0,No,No,12,Yes,No,No,No internet service,Yes,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),56.66,692.66,1
Male,1,Yes,No,42,No,No phone service,DSL,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),70.74,2968.83,0
Male,0,No,Yes,57,No,No phone service,DSL,No,No,No internet service,No,No,Yes,Two year,No,Credit card (automatic),93.66,5285.8,0
Male,1,Yes,Yes,12,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),92.58,1157.51,0
Male,1,Yes,Yes,21,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,97.86,2093.19,1
Male,1,No,No,67,Yes,No,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,76.13,5101.88,1
Female,0,No,No,72,Yes,No,No,Yes,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),28.67,2001.04,0
Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,110.21,4639.21,1
Female,0,Yes,Yes,32,Yes,No,DSL,No internet service,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,106.29,3395.7,0
Female,0,Yes,No,25,Yes,Yes,DSL,Yes,No internet service,No,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),99.41,2378.57,0
Male,0,No,No,44,Yes,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,28.19,1122.62,0
Male,1,No,No,43,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,One year,Yes,Electronic check,38.85,1715.76,0
Female,0,Yes,Yes,21,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),93.85,1762.7,0
Female,0,Yes,Yes,1,No,Yes,DSL,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,20.36,36.79,1
Male,0,No,No,11,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),117.88,1258.43,1
Female,0,Yes,No,69,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.47,4001.09,0
Female,0,Yes,Yes,30,No,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,91.37,2701.62,0
Male,0,Yes,No,35,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),108.53,3851.31,0
Male,0,No,Yes,34,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,58.25,1948.75,1
Female,0,Yes,Yes,57,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Mailed check,50.55,2890.45,0
Male,0,Yes,No,4,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,80.09,379.31,0
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),77.26,426.56,0
Male,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No,One year,Yes,Mailed check,59.73,1274.32,0
Female,0,Yes,No,35,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,79.38,2698.8,1
Male,1,Yes,No,48,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,One year,Yes,Electronic check,113.41,5467.25,0
Male,0,Yes,Yes,35,No,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,65.7,2373.31,1
Male,0,Yes,No,32,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Two year,Yes,Electronic check,38.07,1271.04,0
Male,0,Yes,No,68,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),56.48,3993.96,1
Female,0,No,No,11,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,58.2,579.12,0
Male,1,Yes,No,41,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,No,One year,Yes,Electronic check,31.37,1175.84,0
Female,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Mailed check,34.61,1270.24,1
Female,0,No,Yes,34,Yes,Yes,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.83,3039.06,1
Male,0,No,Yes,58,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,52.63,3092.37,0
Female,0,No,No,19,Yes,No,DSL,No,Yes,No,No internet service,No,No,Month-to-month,No,Mailed check,115.4,2200.78,0
Female,0,No,No,69,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),42.85,2866.81,0
Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),28.09,735.51,0
Male,0,Yes,Yes,39,Yes,No,DSL,Yes,No,No internet service,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),94.86,3601.56,1
Female,0,Yes,No,38,Yes,No,No,No internet service,Yes,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,107.87,4191.78,0
Female,1,No,Yes,62,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Mailed check,46.37,3103.54,0
Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),38.61,1264.84,0
Male,1,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),36.95,785.65,1
Female,0,No,No,1,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,71.25,31.82,1
Male,0,Yes,No,26,Yes,No phone service,No,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),65.78,1565.46,1
Male,0,Yes,No,60,Yes,No phone service,No,Yes,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),44.46,2619.38,0
Male,0,Yes,No,0,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),22.61,0.0,0
Female,0,Yes,No,65,Yes,No phone service,DSL,Yes,No,No,No,No,Yes,One year,No,Mailed check,67.11,4246.39,0
Female,1,No,Yes,39,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,One year,No,Bank transfer (automatic),115.85,4655.94,0
Male,0,Yes,Yes,10,Yes,No phone service,DSL,No,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,84.56,867.43,1
Female,0,No,No,22,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,68.54,1538.26,1
Male,0,No,No,40,Yes,No phone service,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.29,1146.88,0
Male,0,Yes,No,23,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Two year,No,Electronic check,43.75,992.42,1
Female,0,No,Yes,7,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,One year,Yes,Electronic check,48.07,413.65,1
Female,0,Yes,No,48,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,96.01,4605.89,0
Female,0,No,No,49,No,No,Fiber optic,Yes,No internet service,No,No,Yes,Yes,One year,No,Mailed check,107.42,5306.04,1
Female,0,No,No,8,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,109.97,864.08,0
Male,0,Yes,No,20,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),118.43,2341.23,1
Female,0,No,No,17,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),118.2,1896.85,0
Male,0,Yes,No,48,Yes,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),115.21,5371.86,0
Female,0,No,No,53,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),25.33,1321.57,0
Male,0,Yes,No,53,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),32.05,1703.17,0
Male,0,Yes,No,68,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,49.06,3233.19,0
Male,0,Yes,No,56,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),74.4,4163.64,0
Female,1,Yes,Yes,23,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),27.89,645.77,0
Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Two year,Yes,Mailed check,104.27,557.41,0
Female,0,No,No,44,Yes,No phone service,No,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,80.91,3486.83,0
Female,1,No,No,66,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,73.32,4871.7,0
Male,0,No,No,71,Yes,No,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),34.86,2506.02,0
Female,0,Yes,Yes,16,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),43.83,608.99,1
Male,1,Yes,No,17,No,No phone service,Fiber optic,No,No internet service,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),34.35,596.63,0
Male,1,No,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,104.9,291.59,1
Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),77.59,838.07,0
Male,0,Yes,Yes,40,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Electronic check,92.98,3711.58,0
Male,0,Yes,No,39,Yes,Yes,DSL,No,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,48.2,1842.36,1
Male,1,Yes,Yes,27,Yes,No,DSL,Yes,No internet service,No,No,No,No,Month-to-month,No,Electronic check,55.87,1458.14,0
Female,1,Yes,No,22,Yes,No phone service,DSL,No internet service,No internet service,No internet service,Yes,Yes,No internet service,Two year,Yes,Mailed check,59.3,1342.03,0
Male,0,No,Yes,60,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,95.52,5746.81,0
Male,0,Yes,Yes,33,No,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),96.78,3244.09,0
Female,0,No,Yes,59,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Mailed check,39.09,2316.86,0
Male,0,Yes,No,70,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),114.04,8048.3,0
Female,0,Yes,No,23,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,Yes,One year,No,Mailed check,30.31,704.7,0
Male,0,No,No,14,Yes,No,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),109.4,1594.38,0
Female,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),28.24,2018.23,0
Female,0,Yes,No,46,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),44.98,2004.72,0
Male,0,Yes,No,21,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),104.34,2046.49,1
Male,0,No,No,45,Yes,No,No,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),36.31,1757.43,0
Female,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),60.18,2247.19,0
Female,0,No,No,66,Yes,No,DSL,Yes,No,Yes,No,No internet service,Yes,Two year,No,Electronic check,63.89,4079.58,0
Male,1,Yes,No,18,Yes,No,DSL,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,43.02,717.25,1
Female,0,No,No,72,Yes,Yes,No,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Mailed check,90.45,6574.15,0
Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,No,Two year,No,Electronic check,104.84,7106.75,0
Female,0,No,No,13,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,One year,No,Mailed check,107.21,1352.77,0
Female,0,No,Yes,12,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),52.61,743.39,1
Female,0,Yes,Yes,38,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,72.15,2657.92,0
Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,43.34,66.17,1
Male,0,No,No,21,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),42.97,919.28,0
Female,0,No,No,31,Yes,No phone service,No,No,Yes,Yes,Yes,No internet service,No,Two year,No,Mailed check,34.45,1099.19,0
Female,0,Yes,Yes,70,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),113.88,8011.31,1
Female,0,No,No,72,No,Yes,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),108.57,7889.94,0
Female,0,No,No,11,No,No,DSL,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),97.29,1086.08,1
Female,0,Yes,No,65,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,Yes,One year,No,Credit card (automatic),70.8,4641.15,0
Female,0,No,No,6,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,One year,No,Mailed check,68.04,387.5,0
Female,0,Yes,Yes,54,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Electronic check,72.03,3894.64,0
Female,0,No,No,61,Yes,Yes,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),72.73,4445.13,0
Male,0,Yes,No,65,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),62.33,4068.66,0
Male,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,31.44,564.84,0
Male,1,No,No,65,Yes,No,DSL,No internet service,No internet service,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),30.82,2047.71,0
Male,1,No,No,8,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,115.13,924.58,1
Male,1,No,No,37,Yes,No phone service,No,Yes,No internet service,No,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),67.17,2420.56,0
Male,0,No,No,34,Yes,No,No,Yes,No internet service,No internet service,No internet service,No,No,One year,Yes,Bank transfer (automatic),115.23,3923.23,1
Male,0,No,Yes,23,No,No phone service,DSL,No,No,No,Yes,Yes,No internet service,One year,No,Mailed check,34.68,795.4,0
Female,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),74.55,90.0,1
Male,0,Yes,No,56,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,Yes,One year,No,Credit card (automatic),39.19,2371.16,0
