고객ID,나이,성별,지역,서비스,요금제유형,월정액,월시청시간,월평균접속횟수,프로필수,동시접속이용,구독유형,가입기간_개월,등록기기수,오프라인저장,키즈프로필,추가프로필구매,독점콘텐츠시청,부가서비스수,Netflix_사용,Tving_사용,Disney_사용,CS문의횟수_6개월,불만접수건수,만족도점수,결제방법,결제실패경험,할인율,주사용기기기간_개월,주사용기기,이탈여부
OTT00817,64,남성,경기,Tving,광고형 스탠다드,5608,4.39,25,5,0,6개월 구독,36,1,0,0,0,0,0,1,1,0,1,0,3,신용카드,0,15,21,스마트TV,0
OTT00818,58,남성,경기,Tving,스탠다드 HD,13998,145.51,38,5,0,월간 구독,3,2,0,1,1,1,3,0,1,1,2,1,4,간편결제,0,0,8,스마트TV,0
OTT00819,66,남성,전북,Disney+,베이직,8947,27.58,20,2,0,연간 구독,45,1,1,1,0,0,2,0,0,1,0,0,4,간편결제,0,15,25,스마트폰,0
OTT00820,31,여성,전북,Disney+,베이직,9169,18.94,35,3,0,월간 구독,44,3,0,1,0,1,2,1,0,1,3,0,3,신용카드,0,0,18,스마트폰,1
OTT00821,32,남성,인천,Netflix,베이직,9234,9.14,28,5,1,6개월 구독,9,3,1,1,0,0,2,1,0,0,1,0,4,간편결제,0,0,20,태블릿,0
OTT00822,48,남성,대구,Tving,광고형 스탠다드,5288,8.47,28,3,1,월간 구독,5,1,1,0,0,1,2,1,1,0,1,0,4,신용카드,0,0,11,스마트폰,1
OTT00823,18,남성,대구,Tving,광고형 스탠다드,5542,47.59,11,2,0,6개월 구독,12,3,1,0,0,0,1,0,1,0,2,0,3,휴대폰결제,0,5,17,스마트폰,0
OTT00824,70,남성,전남,Tving,광고형 스탠다드,6076,2.41,44,2,0,6개월 구독,29,1,1,0,0,0,1,1,1,0,2,0,1,휴대폰결제,0,0,8,스마트TV,0
OTT00825,71,여성,경기,Tving,광고형 스탠다드,5763,45.11,20,5,0,6개월 구독,1,2,0,1,0,0,1,0,1,0,3,0,2,휴대폰결제,0,5,34,스마트폰,1
OTT00826,71,남성,경기,Tving,베이직,9908,74.5,22,5,0,월간 구독,33,1,1,0,1,0,2,0,1,0,1,0,5,신용카드,0,15,11,스마트폰,0
OTT00827,20,남성,경기,Tving,스탠다드 HD,13582,45.94,20,5,1,연간 구독,56,2,0,0,0,1,1,0,1,0,1,0,4,신용카드,0,10,0,스마트TV,0
OTT00828,33,여성,부산,Tving,광고형 스탠다드,5505,87.6,32,2,1,월간 구독,21,4,1,1,0,0,2,0,1,0,0,0,3,간편결제,0,15,19,태블릿,0
OTT00829,40,남성,인천,Tving,베이직,9545,15.41,39,5,0,연간 구독,21,1,1,1,1,0,3,1,1,0,2,0,1,정기결제,0,5,16,태블릿,1
OTT00830,74,남성,인천,Tving,스탠다드 HD,13280,4.02,26,5,0,월간 구독,27,1,0,0,1,1,2,1,1,1,2,1,1,신용카드,0,10,3,스마트폰,0
OTT00831,28,남성,서울,Tving,베이직,9658,63.83,16,3,1,6개월 구독,2,1,1,0,0,1,2,0,1,0,2,0,2,간편결제,0,10,1,스마트폰,0
OTT00832,29,여성,강원,Tving,프리미엄 4K,17387,88.05,36,5,0,6개월 구독,8,1,0,0,0,1,1,0,1,1,1,0,3,간편결제,0,0,20,스마트TV,0
OTT00833,27,여성,경기,Tving,베이직,9486,34.83,7,5,0,월간 구독,12,1,0,1,0,0,1,1,1,0,1,0,4,간편결제,0,0,1,스마트폰,0
OTT00834,49,여성,서울,Netflix,스탠다드 HD,13208,85.91,13,5,0,월간 구독,22,1,1,0,0,0,1,1,0,0,3,0,5,신용카드,1,10,9,스마트TV,0
OTT00835,33,남성,경기,Netflix,스탠다드 HD,13048,30.62,6,5,0,월간 구독,49,2,0,0,0,0,0,1,0,0,2,0,3,간편결제,0,10,10,스마트폰,0
OTT00836,25,여성,경기,Netflix,연간 멤버십,10158,11.07,16,1,1,6개월 구독,9,2,0,0,0,1,1,1,0,0,1,0,5,신용카드,0,0,15,스마트TV,0
OTT00837,55,남성,대구,Tving,광고형 스탠다드,5217,32.16,30,1,0,월간 구독,44,1,1,0,0,1,2,0,1,0,0,0,3,간편결제,0,5,2,스마트TV,0
OTT00838,29,남성,경기,Tving,광고형 스탠다드,5190,12.16,17,5,0,연간 구독,38,1,0,0,0,0,0,0,1,0,1,0,2,신용카드,0,0,12,스마트폰,0
OTT00839,41,남성,인천,Disney+,베이직,8992,31.94,20,5,0,월간 구독,29,1,1,0,0,1,2,1,0,1,2,1,2,간편결제,0,15,21,PC,0
OTT00840,45,남성,부산,Netflix,광고형 스탠다드,5626,7.98,23,1,0,6개월 구독,3,2,1,0,0,0,1,1,0,0,0,0,4,간편결제,0,10,33,PC,0
OTT00841,70,남성,경기,Netflix,광고형 스탠다드,5538,10.26,17,5,1,6개월 구독,22,1,0,1,0,0,1,1,1,0,1,1,5,신용카드,0,15,32,스마트폰,0
OTT00842,25,여성,서울,Netflix,베이직,9382,107.24,8,3,1,월간 구독,4,1,1,0,0,1,2,1,1,1,0,2,4,간편결제,0,0,25,스마트TV,1
OTT00843,45,여성,경남,Netflix,연간 멤버십,10440,6.16,3,5,0,6개월 구독,29,1,0,0,0,1,1,1,0,0,1,0,3,신용카드,0,0,27,스마트TV,0
OTT00844,53,남성,경기,Disney+,스탠다드 HD,13449,12.7,33,5,1,월간 구독,41,1,1,1,0,1,3,0,1,1,1,0,1,정기결제,0,0,26,스마트TV,0
OTT00845,43,남성,경기,Netflix,연간 멤버십,10136,270.41,13,5,1,월간 구독,13,1,1,0,0,1,2,1,0,0,0,0,3,휴대폰결제,0,0,35,스마트TV,1
OTT00846,25,남성,서울,Tving,베이직,9589,42.9,13,5,1,월간 구독,24,1,0,0,0,0,0,0,1,0,2,0,4,신용카드,0,0,27,스마트폰,0
OTT00847,67,남성,인천,Tving,베이직,9565,44.07,5,4,0,연간 구독,2,1,0,0,0,0,0,0,1,0,0,0,2,간편결제,0,10,14,스마트TV,0
OTT00848,45,여성,부산,Tving,프리미엄 4K,17666,93.21,18,3,0,월간 구독,3,1,1,0,0,1,2,0,1,0,2,1,4,간편결제,0,5,17,스마트폰,0
OTT00849,45,남성,부산,Disney+,베이직,8712,37.15,25,5,1,연간 구독,15,1,1,0,0,1,2,0,1,1,1,0,2,정기결제,0,0,34,PC,0
OTT00850,54,여성,세종,Netflix,베이직,9013,12.54,16,4,0,월간 구독,24,2,1,0,0,1,2,1,0,0,0,0,3,간편결제,0,0,4,태블릿,0
OTT00851,58,남성,서울,Netflix,연간 멤버십,12908,27.45,23,2,0,연간 구독,50,2,1,0,0,0,1,1,0,0,2,0,1,간편결제,0,0,6,스마트TV,0
OTT00852,53,남성,경기,Disney+,연간 멤버십,12234,70.33,0,5,0,6개월 구독,26,1,1,1,0,0,2,0,1,1,0,0,4,신용카드,0,0,17,스마트TV,0
OTT00853,44,남성,전남,Disney+,연간 멤버십,11419,102.96,21,3,0,6개월 구독,8,1,1,0,0,0,1,1,0,1,1,0,4,간편결제,0,0,7,태블릿,0
OTT00854,71,남성,제주,Netflix,스탠다드 HD,13409,15.96,15,4,0,월간 구독,40,1,1,1,0,1,3,1,0,0,1,1,4,휴대폰결제,0,5,10,스마트TV,0
OTT00855,34,남성,서울,Netflix,연간 멤버십,11984,15.19,5,3,0,월간 구독,53,1,1,0,0,1,2,1,0,0,3,0,3,간편결제,0,0,18,스마트TV,1
OTT00856,26,여성,인천,Netflix,베이직,9247,19.85,3,5,0,월간 구독,47,1,1,0,0,0,1,1,0,0,0,0,4,간편결제,0,0,10,스마트TV,0
OTT00857,50,남성,경기,Netflix,광고형 스탠다드,5193,45.34,11,5,0,연간 구독,5,1,1,0,0,0,1,1,0,0,2,0,2,신용카드,0,5,21,스마트폰,0
OTT00858,70,여성,서울,Disney+,스탠다드 HD,13179,16.32,7,1,0,연간 구독,8,1,1,0,0,0,1,0,0,1,0,0,3,신용카드,0,0,31,스마트TV,0
OTT00859,37,남성,경기,Tving,베이직,9752,111.81,23,5,1,6개월 구독,46,1,1,0,0,0,1,0,1,0,2,0,2,신용카드,0,0,13,스마트TV,0
OTT00860,30,남성,서울,Netflix,연간 멤버십,11656,190.85,24,1,0,연간 구독,39,2,0,0,0,1,1,1,1,0,2,0,1,간편결제,0,0,30,스마트TV,0
OTT00861,45,남성,세종,Disney+,연간 멤버십,13377,56.83,21,5,0,월간 구독,46,2,1,1,0,0,2,1,0,1,1,1,1,신용카드,0,0,17,스마트폰,0
OTT00862,65,여성,부산,Tving,베이직,9763,175.83,23,5,1,6개월 구독,32,1,1,0,1,1,3,1,1,0,1,1,3,간편결제,0,0,20,스마트TV,0
OTT00863,46,남성,서울,Netflix,광고형 스탠다드,5256,16.97,4,3,0,연간 구독,31,1,0,0,1,0,1,1,0,0,0,0,2,간편결제,0,0,19,스마트TV,0
OTT00864,30,여성,서울,Disney+,스탠다드 HD,13432,84.42,25,3,0,월간 구독,8,1,1,0,0,0,1,0,0,1,1,0,1,신용카드,0,5,2,스마트폰,1
OTT00865,63,남성,전북,Disney+,광고형 스탠다드,5564,56.73,26,1,0,월간 구독,17,2,1,1,0,1,3,0,1,1,0,0,1,간편결제,0,5,10,스마트TV,1
OTT00866,52,여성,서울,Disney+,베이직,9442,15.27,22,4,0,월간 구독,59,1,0,0,1,1,2,0,0,1,1,0,4,신용카드,0,0,35,스마트폰,0
OTT00867,23,남성,대구,Tving,프리미엄 4K,16511,19.17,19,3,0,6개월 구독,23,1,1,1,1,0,3,1,1,0,0,0,1,간편결제,0,20,12,스마트TV,0
OTT00868,35,여성,경기,Disney+,프리미엄 4K,17774,33.53,12,4,1,6개월 구독,39,1,1,0,0,0,1,0,1,1,0,0,4,신용카드,1,20,19,스마트폰,0
OTT00869,68,여성,대구,Netflix,프리미엄 4K,16835,78.43,23,5,0,연간 구독,50,2,0,1,0,1,2,1,0,0,0,0,5,간편결제,0,30,10,스마트TV,0
OTT00870,22,여성,경기,Tving,광고형 스탠다드,5333,102.87,16,5,0,월간 구독,13,1,1,1,0,0,2,0,1,0,1,0,4,간편결제,0,5,11,태블릿,0
OTT00871,64,남성,서울,Disney+,프리미엄 4K,17129,50.25,29,1,1,6개월 구독,57,1,1,0,1,0,2,0,0,1,0,0,5,간편결제,0,10,25,스마트폰,0
OTT00872,42,남성,경기,Netflix,베이직,9327,63.93,22,2,0,연간 구독,44,1,1,0,0,0,1,1,0,0,1,0,4,신용카드,0,30,4,스마트폰,0
OTT00873,19,남성,서울,Disney+,스탠다드 HD,14154,15.32,18,5,1,연간 구독,15,4,0,0,0,1,1,0,0,1,0,0,1,간편결제,0,20,21,스마트폰,0
OTT00874,27,여성,경기,Tving,베이직,9979,67.56,16,5,0,월간 구독,45,2,0,0,1,0,1,1,1,0,2,0,3,신용카드,0,15,10,PC,0
OTT00875,73,여성,대전,Netflix,광고형 스탠다드,5440,46.44,18,4,1,연간 구독,28,1,1,0,0,0,1,1,0,0,0,0,1,신용카드,0,15,28,스마트폰,0
OTT00876,47,여성,경기,Disney+,베이직,9374,12.61,18,5,0,연간 구독,48,1,1,0,0,0,1,0,0,1,0,0,4,간편결제,0,10,27,스마트TV,0
OTT00877,67,남성,서울,Netflix,베이직,9704,149.97,19,5,0,월간 구독,30,1,0,0,0,1,1,1,0,0,2,2,4,간편결제,0,20,3,스마트폰,0
OTT00878,62,남성,부산,Tving,베이직,9593,35.96,7,5,1,연간 구독,15,1,1,0,0,0,1,0,1,0,0,0,2,신용카드,0,20,9,스마트TV,0
OTT00879,22,남성,대구,Netflix,스탠다드 HD,13351,79.11,22,5,0,연간 구독,38,1,1,0,0,0,1,1,1,0,0,0,5,간편결제,0,5,10,스마트TV,0
OTT00880,72,여성,제주,Disney+,광고형 스탠다드,5000,37.29,21,5,1,연간 구독,8,1,1,0,0,0,1,0,0,1,0,0,5,신용카드,0,0,3,스마트폰,0
OTT00881,73,여성,대구,Netflix,스탠다드 HD,13779,135.11,8,5,1,월간 구독,46,2,1,0,1,1,3,1,0,0,1,1,2,신용카드,0,5,16,스마트폰,0
OTT00882,50,여성,인천,Netflix,스탠다드 HD,13301,7.62,22,5,1,월간 구독,15,1,0,0,0,1,1,1,0,0,0,0,3,신용카드,0,0,19,스마트폰,0
OTT00883,71,남성,대구,Netflix,광고형 스탠다드,5018,39.5,19,5,1,월간 구독,38,2,1,0,0,0,1,1,0,0,2,0,5,간편결제,0,30,12,스마트폰,0
OTT00884,18,여성,경남,Disney+,스탠다드 HD,13289,1.27,11,5,0,월간 구독,39,1,0,0,0,1,1,1,0,1,0,0,1,휴대폰결제,0,0,19,스마트폰,1
OTT00885,35,여성,전남,Tving,광고형 스탠다드,5109,10.99,26,5,0,월간 구독,51,1,1,0,0,1,2,0,1,0,1,0,3,간편결제,0,5,24,스마트TV,0
OTT00886,49,남성,경기,Tving,스탠다드 HD,14083,16.5,33,4,1,연간 구독,34,1,1,1,0,1,3,1,1,0,0,0,5,신용카드,0,15,25,태블릿,0
OTT00887,64,여성,경기,Tving,광고형 스탠다드,5807,31.99,14,1,0,월간 구독,36,1,0,0,0,1,1,1,1,0,1,0,2,신용카드,0,0,9,스마트TV,0
OTT00888,66,여성,경기,Tving,프리미엄 4K,17334,85.79,21,1,0,월간 구독,20,1,0,1,0,1,2,0,1,1,1,0,3,신용카드,0,20,33,스마트TV,0
OTT00889,28,여성,부산,Netflix,스탠다드 HD,13401,31.43,32,5,0,연간 구독,44,1,1,1,1,0,3,1,0,0,0,0,5,정기결제,0,0,13,스마트TV,0
OTT00890,38,여성,충북,Tving,스탠다드 HD,13492,41.18,0,5,1,연간 구독,13,1,1,0,1,1,3,0,1,0,1,1,1,간편결제,0,0,35,태블릿,0
OTT00891,43,남성,부산,Netflix,광고형 스탠다드,5967,128.89,38,2,1,월간 구독,44,1,1,0,0,0,1,1,0,0,1,0,2,간편결제,0,10,18,스마트폰,0
OTT00892,42,남성,서울,Disney+,연간 멤버십,10490,70.64,20,1,1,월간 구독,45,2,0,0,0,1,1,1,1,1,2,0,5,간편결제,0,5,21,PC,0
OTT00893,39,여성,강원,Disney+,베이직,9679,2.58,27,3,1,연간 구독,47,2,0,0,0,0,0,0,0,1,1,0,1,간편결제,0,0,34,스마트TV,1
OTT00894,44,남성,전북,Netflix,광고형 스탠다드,5332,9.71,2,5,0,월간 구독,21,1,1,0,0,0,1,1,0,1,1,0,3,간편결제,0,5,35,태블릿,0
OTT00895,66,여성,경기,Netflix,베이직,9118,1.95,6,4,0,월간 구독,47,1,0,0,1,0,1,1,0,0,2,0,4,간편결제,0,5,6,스마트폰,0
OTT00896,30,여성,대전,Disney+,연간 멤버십,10840,3.58,10,3,0,월간 구독,23,1,1,0,0,0,1,1,1,1,2,1,3,간편결제,0,0,34,태블릿,0
OTT00897,50,여성,경기,Netflix,광고형 스탠다드,5781,20.69,9,1,1,월간 구독,46,3,1,1,0,0,2,1,1,1,0,2,4,휴대폰결제,0,0,2,스마트폰,0
OTT00898,51,여성,경남,Netflix,프리미엄 4K,16862,65.07,0,4,1,월간 구독,3,1,1,0,1,1,3,1,1,0,3,0,3,간편결제,0,5,24,스마트TV,0
OTT00899,58,남성,경북,Netflix,광고형 스탠다드,5053,14.01,8,5,1,월간 구독,22,3,1,0,0,0,1,1,1,1,0,0,1,신용카드,0,0,3,스마트폰,0
OTT00900,52,남성,부산,Tving,베이직,9593,24.9,11,4,1,월간 구독,29,2,1,0,0,1,2,1,1,0,2,0,2,휴대폰결제,0,0,23,태블릿,1
OTT00901,18,남성,울산,Disney+,프리미엄 4K,16371,25.03,5,4,1,월간 구독,40,1,0,1,0,0,1,0,1,1,0,1,4,신용카드,0,20,20,PC,0
OTT00902,38,남성,경남,Netflix,스탠다드 HD,12782,44.62,34,5,1,6개월 구독,30,2,1,1,0,1,3,1,1,1,1,0,3,간편결제,0,0,25,스마트폰,0
OTT00903,65,남성,인천,Netflix,연간 멤버십,11479,111.71,26,2,0,월간 구독,24,1,1,1,0,1,3,1,0,0,1,2,3,신용카드,0,20,31,스마트폰,0
OTT00904,72,남성,경기,Tving,연간 멤버십,13572,204.4,12,5,0,월간 구독,25,2,1,0,0,0,1,1,1,0,1,3,3,정기결제,0,5,23,PC,0
OTT00905,23,여성,충남,Tving,광고형 스탠다드,5328,46.39,25,4,1,월간 구독,12,1,1,0,0,1,2,1,1,0,0,0,2,신용카드,0,5,5,태블릿,1
OTT00906,45,여성,경기,Netflix,연간 멤버십,12628,35.17,23,5,1,6개월 구독,50,2,0,1,0,1,2,1,0,0,0,0,3,신용카드,0,0,0,태블릿,0
OTT00907,34,남성,경기,Netflix,광고형 스탠다드,5351,57.27,2,5,1,월간 구독,20,1,0,0,0,0,0,1,1,1,2,0,5,간편결제,0,0,17,스마트폰,0
OTT00908,22,남성,경북,Disney+,프리미엄 4K,16118,55.14,24,5,1,연간 구독,33,3,1,1,1,0,3,1,0,1,2,0,5,간편결제,0,5,29,스마트폰,0
OTT00909,48,여성,강원,Disney+,스탠다드 HD,13289,37.11,15,5,0,연간 구독,39,1,0,0,0,1,1,0,0,1,1,0,4,신용카드,0,10,28,스마트폰,0
OTT00910,22,남성,경기,Disney+,프리미엄 4K,16667,66.77,26,3,1,월간 구독,22,1,1,0,0,1,2,0,0,1,2,1,3,신용카드,1,0,6,스마트TV,0
OTT00911,55,남성,경기,Disney+,프리미엄 4K,17431,33.79,9,5,1,월간 구독,46,1,0,0,0,1,1,0,0,1,0,0,4,간편결제,0,20,16,스마트TV,0
OTT00912,20,남성,경기,Netflix,스탠다드 HD,13149,282.16,25,5,0,연간 구독,19,4,0,0,0,1,1,1,0,0,2,2,4,신용카드,0,0,32,스마트TV,0
OTT00913,70,여성,경기,Netflix,베이직,9273,2.51,30,5,0,월간 구독,32,2,0,0,0,0,0,1,0,0,1,1,2,휴대폰결제,0,15,14,스마트TV,0
OTT00914,40,남성,서울,Netflix,광고형 스탠다드,5482,29.28,23,2,0,연간 구독,53,2,0,0,0,0,0,1,1,0,0,0,4,간편결제,0,5,33,스마트폰,0
OTT00915,54,여성,충북,Netflix,광고형 스탠다드,5257,25.29,2,5,0,연간 구독,51,1,0,1,0,1,2,1,0,0,1,0,3,신용카드,0,0,20,PC,0
OTT00916,70,남성,경기,Disney+,베이직,9645,73.55,44,3,1,연간 구독,26,1,0,0,1,0,1,0,1,1,0,0,3,간편결제,0,5,27,태블릿,0
OTT00917,54,남성,인천,Disney+,연간 멤버십,13046,10.59,25,3,1,월간 구독,44,2,0,0,0,0,0,0,0,1,2,0,1,간편결제,0,0,18,스마트TV,1
OTT00918,27,남성,경기,Tving,베이직,8997,28.46,17,5,0,6개월 구독,7,2,0,0,0,0,0,1,1,0,3,1,4,간편결제,0,0,33,PC,0
OTT00919,27,남성,제주,Netflix,광고형 스탠다드,5700,59.86,26,3,0,연간 구독,8,1,1,0,0,0,1,1,1,0,0,0,2,간편결제,0,5,14,스마트TV,0
OTT00920,36,여성,경기,Disney+,베이직,9284,46.22,41,2,0,월간 구독,11,4,1,0,1,0,2,0,1,1,0,0,3,신용카드,0,0,14,스마트폰,0
OTT00921,34,여성,서울,Disney+,스탠다드 HD,13622,39.39,5,2,1,6개월 구독,59,2,0,0,1,1,2,0,0,1,0,0,4,간편결제,0,0,19,스마트TV,0
OTT00922,38,여성,서울,Netflix,연간 멤버십,11530,28.54,30,5,1,월간 구독,40,3,1,0,0,0,1,1,0,0,2,0,3,휴대폰결제,0,5,34,스마트TV,1
OTT00923,31,여성,대구,Disney+,스탠다드 HD,13537,69.72,18,5,0,월간 구독,16,1,0,0,1,1,2,1,0,1,1,2,3,간편결제,0,10,26,스마트TV,1
OTT00924,26,여성,대구,Netflix,베이직,9759,51.98,16,5,0,연간 구독,9,2,1,0,1,0,2,1,0,0,3,0,2,간편결제,0,20,5,스마트폰,0
OTT00925,63,여성,경기,Netflix,스탠다드 HD,13722,103.86,17,5,1,월간 구독,41,2,1,0,0,1,2,1,0,0,1,1,1,간편결제,0,5,21,스마트폰,1
OTT00926,18,여성,경기,Tving,베이직,9165,66.03,0,1,0,6개월 구독,4,2,0,0,0,0,0,0,1,0,1,1,5,휴대폰결제,0,0,0,스마트폰,1
OTT00927,68,남성,서울,Tving,연간 멤버십,11754,7.56,24,5,0,6개월 구독,11,2,0,1,0,0,1,0,1,0,0,0,2,신용카드,0,20,33,스마트폰,0
OTT00928,62,남성,부산,Netflix,프리미엄 4K,16603,48.32,0,4,0,6개월 구독,10,2,1,1,0,0,2,1,0,1,1,1,2,간편결제,0,0,33,스마트TV,0
OTT00929,30,남성,부산,Netflix,광고형 스탠다드,5716,2.28,14,5,1,월간 구독,59,2,0,0,0,0,0,1,0,1,1,0,3,간편결제,0,0,13,스마트TV,1
OTT00930,21,여성,서울,Disney+,프리미엄 4K,16235,24.5,14,5,0,월간 구독,59,1,1,0,0,0,1,0,1,1,0,0,1,신용카드,0,0,16,스마트TV,0
OTT00931,18,남성,서울,Tving,스탠다드 HD,13879,26.55,16,2,0,월간 구독,53,2,1,1,0,1,3,1,1,0,2,0,1,간편결제,0,10,8,스마트TV,0
OTT00932,66,남성,서울,Tving,스탠다드 HD,13624,96.51,0,2,1,연간 구독,29,1,1,0,0,0,1,0,1,0,0,0,5,정기결제,0,0,34,스마트TV,0
OTT00933,57,여성,서울,Netflix,광고형 스탠다드,5236,9.95,28,1,0,6개월 구독,41,2,0,0,0,0,0,1,0,0,1,0,1,신용카드,0,0,31,스마트폰,0
OTT00934,49,여성,대구,Netflix,프리미엄 4K,16966,51.58,1,4,1,월간 구독,5,2,1,0,0,1,2,1,1,0,0,0,4,휴대폰결제,0,15,20,스마트폰,1
OTT00935,51,여성,서울,Netflix,베이직,8916,10.68,10,1,0,연간 구독,3,1,0,0,0,0,0,1,1,0,0,0,5,신용카드,1,10,0,스마트폰,0
OTT00936,45,남성,경기,Netflix,스탠다드 HD,13627,148.47,14,1,1,월간 구독,13,2,1,0,0,0,1,1,1,0,2,1,5,신용카드,0,20,12,스마트TV,0
OTT00937,48,여성,서울,Netflix,프리미엄 4K,16089,37.7,16,2,0,월간 구독,16,1,1,1,0,0,2,1,0,0,1,0,5,간편결제,1,5,18,스마트폰,0
OTT00938,25,남성,제주,Netflix,광고형 스탠다드,5290,61.59,23,1,0,6개월 구독,41,2,1,0,1,1,3,1,0,0,2,0,2,간편결제,0,0,17,PC,0
OTT00939,56,남성,경북,Tving,스탠다드 HD,13214,52.0,20,5,0,월간 구독,8,1,1,0,0,1,2,1,1,0,1,0,5,간편결제,0,10,4,스마트TV,0
OTT00940,43,남성,경기,Netflix,스탠다드 HD,12860,18.09,39,5,1,월간 구독,28,1,1,1,1,1,4,1,1,0,1,1,1,간편결제,0,5,13,스마트폰,0
OTT00941,51,남성,경기,Disney+,스탠다드 HD,13795,115.73,23,5,1,월간 구독,24,1,1,0,0,0,1,0,0,1,1,0,4,간편결제,0,5,23,스마트TV,0
OTT00942,71,남성,경기,Netflix,베이직,9477,49.34,22,4,1,연간 구독,38,1,0,1,0,1,2,1,0,1,2,0,1,간편결제,0,0,17,스마트TV,0
OTT00943,71,여성,인천,Tving,베이직,9434,35.7,14,5,0,월간 구독,2,3,1,0,0,0,1,0,1,1,1,0,2,간편결제,0,15,33,스마트폰,1
OTT00944,20,남성,서울,Netflix,프리미엄 4K,17032,37.58,23,5,1,월간 구독,6,1,1,0,0,0,1,1,0,1,3,0,5,신용카드,0,20,18,PC,0
OTT00945,67,여성,대전,Tving,스탠다드 HD,13828,110.68,15,2,1,월간 구독,19,2,0,0,0,0,0,0,1,1,0,0,1,간편결제,0,5,34,PC,0
OTT00946,29,여성,부산,Netflix,베이직,8961,3.05,15,5,0,월간 구독,18,2,0,1,0,1,2,1,0,0,1,0,5,신용카드,0,0,25,스마트폰,1
OTT00947,18,남성,경남,Disney+,스탠다드 HD,14098,24.64,51,5,0,월간 구독,38,1,1,1,0,1,3,1,0,1,0,0,2,간편결제,0,0,5,스마트폰,0
OTT00948,71,남성,서울,Disney+,광고형 스탠다드,5000,92.14,35,5,1,월간 구독,24,3,1,0,0,0,1,0,0,1,1,2,4,정기결제,0,0,34,PC,0
OTT00949,61,남성,전북,Tving,광고형 스탠다드,5668,1.91,11,4,0,연간 구독,39,2,1,0,1,1,3,1,1,0,0,1,2,신용카드,0,0,11,스마트폰,0
OTT00950,22,여성,전북,Netflix,베이직,9425,50.97,26,2,0,월간 구독,20,2,1,0,0,0,1,1,1,0,1,0,1,신용카드,0,15,17,PC,1
OTT00951,47,남성,서울,Tving,스탠다드 HD,13852,25.81,22,4,0,월간 구독,24,1,0,0,0,1,1,0,1,0,1,0,2,신용카드,0,20,28,태블릿,1
OTT00952,47,남성,경기,Disney+,광고형 스탠다드,6119,11.44,13,2,1,월간 구독,56,1,0,0,0,0,0,1,0,1,0,0,1,간편결제,0,15,26,스마트폰,1
OTT00953,74,남성,서울,Netflix,광고형 스탠다드,5000,47.26,40,2,0,연간 구독,55,2,0,1,1,1,3,1,0,0,4,1,3,신용카드,0,0,18,스마트TV,0
OTT00954,34,여성,경기,Tving,베이직,9400,88.91,17,5,0,월간 구독,59,1,1,1,0,0,2,0,1,0,0,0,1,신용카드,0,10,24,스마트폰,0
OTT00955,65,여성,경기,Disney+,광고형 스탠다드,5000,31.49,33,5,0,월간 구독,2,2,0,0,0,1,1,0,0,1,1,0,5,신용카드,0,0,17,스마트폰,0
OTT00956,64,남성,부산,Disney+,광고형 스탠다드,5343,7.93,13,1,1,월간 구독,36,1,1,1,1,0,3,0,0,1,1,0,3,휴대폰결제,0,15,28,스마트폰,0
OTT00957,40,여성,경기,Disney+,베이직,9847,18.28,30,1,0,월간 구독,16,2,1,0,0,1,2,0,0,1,0,0,4,신용카드,0,10,30,태블릿,0
OTT00958,32,여성,제주,Disney+,스탠다드 HD,13721,199.1,33,4,0,6개월 구독,35,3,0,0,0,1,1,1,0,1,1,0,5,휴대폰결제,0,5,18,스마트폰,0
OTT00959,54,여성,서울,Disney+,광고형 스탠다드,5337,5.89,10,3,1,6개월 구독,7,1,0,0,0,0,0,1,0,1,4,0,1,신용카드,0,15,1,스마트폰,1
OTT00960,38,여성,제주,Netflix,스탠다드 HD,13344,8.76,16,5,0,월간 구독,30,1,1,1,0,0,2,1,0,0,1,0,3,간편결제,0,10,24,스마트TV,0
OTT00961,31,여성,경기,Tving,광고형 스탠다드,5575,231.16,19,5,1,월간 구독,35,1,1,1,0,0,2,0,1,0,0,0,5,간편결제,0,20,14,스마트폰,0
OTT00962,19,여성,충남,Disney+,광고형 스탠다드,5763,106.9,36,4,0,연간 구독,39,1,0,0,0,0,0,1,0,1,2,1,4,휴대폰결제,0,5,16,태블릿,0
OTT00963,28,여성,경기,Tving,광고형 스탠다드,5466,61.4,35,2,0,연간 구독,43,1,0,1,0,0,1,0,1,1,3,0,2,신용카드,0,15,10,스마트폰,1
OTT00964,68,남성,서울,Disney+,베이직,9113,8.18,16,5,1,연간 구독,16,1,0,1,0,1,2,0,0,1,0,1,1,간편결제,0,10,34,스마트TV,0
OTT00965,56,남성,경북,Netflix,스탠다드 HD,13423,13.76,16,1,1,월간 구독,16,1,1,0,0,1,2,1,0,0,1,1,3,신용카드,0,10,15,스마트TV,0
OTT00966,55,남성,경기,Netflix,프리미엄 4K,16403,9.93,22,5,0,6개월 구독,24,1,0,0,0,1,1,1,1,1,1,1,2,신용카드,0,0,17,스마트폰,1
OTT00967,51,여성,대전,Netflix,광고형 스탠다드,5771,49.84,4,5,1,연간 구독,14,1,1,1,0,0,2,1,0,0,0,0,2,정기결제,0,0,14,스마트폰,0
OTT00968,55,여성,부산,Netflix,광고형 스탠다드,6257,25.45,32,3,1,6개월 구독,16,3,1,0,0,1,2,1,0,0,1,0,3,신용카드,0,0,6,스마트폰,1
