나이,성별,지역,서비스,요금제유형,월정액,월시청시간,월평균접속횟수,프로필수,동시접속이용,구독유형,가입기간_개월,등록기기수,오프라인저장,키즈프로필,추가프로필구매,독점콘텐츠시청,부가서비스수,CS문의횟수_6개월,불만접수건수,만족도점수,결제방법,결제실패경험,할인율,주사용기기기간_개월,주사용기기,이탈여부,월평균요금,시청시간비율,고객가치점수,CS민감도
38,0,2,1,2,12782,44.62,34,5,1,0,30,2,1,1,0,1,3,0,0,3,2,0,0,30,2,0,12782.0,0.09165793636120868,90.0,0
65,0,11,1,3,11479,111.71,26,2,0,2,24,1,1,1,0,1,3,1,0,3,0,0,0,12,0,0,11479.0,0.2294735112261457,87.0,1
72,0,1,2,3,13572,204.4,12,5,0,2,25,2,1,0,0,0,1,1,0,2,2,0,0,11,2,1,13572.0,0.4198763377909246,47.5,1
23,1,15,2,0,5328,46.39,25,4,1,2,12,1,1,0,0,1,2,1,1,4,3,0,0,23,1,0,5328.0,0.09529385181076806,76.0,4
45,1,1,1,3,12628,35.17,23,5,1,0,50,2,0,1,0,1,2,1,1,1,0,0,0,18,0,0,12628.0,0.07224584540169676,65.0,4
34,0,1,1,0,5351,57.27,2,5,1,2,20,1,0,0,0,0,0,2,0,5,0,0,0,2,1,0,5351.0,0.11764343378320084,60.0,2
22,0,3,0,4,16118,55.14,24,5,1,1,33,3,1,1,1,0,3,0,0,2,0,0,10,31,1,0,14506.2,0.11326801010661244,81.5,0
48,1,0,0,2,13289,37.11,15,5,0,1,39,1,0,0,0,1,1,4,0,1,0,0,10,27,0,1,11960.1,0.0762309730695754,44.5,4
22,0,1,0,4,16667,66.77,26,3,1,2,22,1,1,0,0,1,2,1,1,1,1,0,10,17,1,1,15000.300000000001,0.137158234218689,51.0,4
55,0,1,0,4,17431,33.79,9,5,1,2,46,1,0,0,0,1,1,1,1,1,0,1,15,3,3,1,14816.35,0.06941106386475215,48.0,4
20,0,1,1,2,13149,282.16,25,5,0,1,19,4,0,0,0,1,1,1,0,4,1,0,10,14,2,0,11834.1,0.5796101148291942,64.5,1
70,1,1,1,1,9273,2.51,30,5,0,2,32,2,0,0,0,0,0,0,0,1,0,0,5,15,1,1,8809.35,0.005156015694007928,26.0,0
40,0,8,1,0,5482,29.28,23,2,0,1,53,2,0,0,0,0,0,2,1,5,1,0,15,26,2,0,4659.7,0.06014666913169409,76.5,5
54,1,16,1,0,5257,25.29,2,5,0,1,51,1,0,1,0,1,2,0,0,5,0,0,10,21,0,0,4731.3,0.051950452948789055,105.5,0
70,0,1,0,1,9645,73.55,44,3,1,1,26,1,0,0,1,0,1,0,0,3,3,0,10,29,2,0,8680.5,0.15108563916106899,58.0,0
54,0,11,0,3,13046,10.59,25,3,1,2,44,2,0,0,0,0,0,1,0,2,1,0,5,21,2,0,12393.699999999999,0.021753867011770504,42.0,1
27,0,1,2,1,8997,28.46,17,5,0,0,7,2,0,0,0,0,0,4,1,5,0,0,5,28,1,0,8547.15,0.058462233725683536,53.5,7
27,0,14,1,0,5700,59.86,26,3,0,1,8,1,1,0,0,0,1,0,1,4,0,1,5,10,1,0,5415.0,0.12296378463877077,59.0,3
36,1,1,0,1,9284,46.22,41,2,0,2,11,4,1,0,1,0,2,1,0,2,0,0,0,35,2,0,9284.0,0.0949446395924488,55.5,1
34,1,8,0,2,13622,39.39,5,2,1,0,59,2,0,0,1,1,2,2,0,4,1,1,10,14,2,0,12259.800000000001,0.08091452517409256,99.5,2
38,1,8,1,3,11530,28.54,30,5,1,2,40,3,1,0,0,0,1,1,1,5,0,0,5,0,2,0,10953.5,0.05862656888724554,85.0,4
31,1,5,0,2,13537,69.72,18,5,0,2,16,1,0,0,1,1,2,3,1,2,1,0,0,3,2,1,13537.0,0.14321809330128799,58.0,6
26,1,5,1,1,9759,51.98,16,5,0,1,9,2,1,0,1,0,2,0,0,5,2,0,10,27,1,0,8783.1,0.1067767712249132,84.5,0
63,1,1,1,2,13722,103.86,17,5,1,2,41,2,1,0,0,1,2,0,0,1,0,0,5,22,1,0,13035.9,0.2133481234978739,60.5,0
18,1,1,2,1,9165,66.03,0,1,0,0,4,2,0,0,0,0,0,1,0,2,0,0,0,16,1,0,9165.0,0.13563813397424046,22.0,1
68,0,8,2,3,11754,7.56,24,5,0,0,11,2,0,1,0,0,1,2,2,5,0,0,0,15,2,0,11754.0,0.015529672767609538,70.5,8
62,0,7,1,4,16603,48.32,0,4,0,0,10,2,1,1,0,0,2,1,0,4,0,0,0,23,2,0,16603.0,0.09925843758345144,75.0,1
30,0,7,1,0,5716,2.28,14,5,1,2,59,2,0,0,0,0,0,1,0,2,3,0,5,20,2,0,5430.2,0.004683552104517162,49.5,1
21,1,8,0,4,16235,24.5,14,5,0,2,59,1,1,0,0,0,1,1,0,2,1,0,0,22,1,1,16235.0,0.05032764322836425,64.5,1
18,0,8,2,2,13879,26.55,16,2,0,2,53,2,1,1,0,1,3,0,0,2,1,0,10,19,1,0,12491.1,0.05453873174339065,91.5,0
66,0,8,2,2,13624,96.51,0,2,1,1,29,1,1,0,0,0,1,0,1,3,0,0,0,31,2,0,13624.0,0.19824983052936465,59.5,3
57,1,8,1,0,5236,9.95,28,1,0,0,41,2,0,0,0,0,0,1,0,1,1,0,30,4,1,0,3665.2,0.020439185719274458,30.5,1
49,1,5,1,4,16966,51.58,1,4,1,2,5,2,1,0,0,1,2,1,0,2,0,0,15,31,2,1,14421.1,0.10595509541710318,52.5,1
51,1,8,1,1,8916,10.68,10,1,0,1,3,1,0,0,0,0,0,2,0,5,0,0,0,13,1,0,8916.0,0.021938744068527763,51.5,2
45,0,1,1,2,13627,148.47,14,1,1,2,13,2,1,0,0,0,1,0,0,4,0,0,10,18,1,0,12264.300000000001,0.30498551796388734,61.5,0
48,1,8,1,4,16089,37.7,16,2,0,2,16,1,1,1,0,0,2,0,0,5,0,0,15,23,1,0,13675.65,0.0774429448860952,88.0,0
25,0,14,1,0,5290,61.59,23,1,0,0,41,2,1,0,1,1,3,0,0,3,1,0,20,35,1,0,4232.0,0.12651753250754916,95.5,0
56,0,3,2,2,13214,52.0,20,5,0,2,8,1,1,0,0,1,2,0,2,2,0,0,5,26,1,1,12553.3,0.1068178550153037,54.0,6
43,0,1,1,2,12860,18.09,39,5,1,2,28,1,1,1,1,1,4,1,0,1,1,0,20,10,1,1,10288.0,0.03716028840820854,84.0,1
51,0,1,0,2,13795,115.73,23,5,1,2,24,1,1,0,0,0,1,1,1,4,1,0,15,16,2,0,11725.75,0.23773135309463653,67.0,4
71,0,1,1,1,9477,49.34,22,4,1,1,38,1,0,1,0,1,2,3,1,3,0,0,5,29,1,0,9003.15,0.10135371089336703,79.0,6
71,1,11,2,1,9434,35.7,14,5,0,2,2,3,1,0,0,0,1,1,0,2,1,0,5,34,1,0,8962.3,0.07333456584704505,36.0,1
20,0,8,1,4,17032,37.58,23,5,1,2,6,1,1,0,0,0,1,0,2,1,0,0,0,14,3,1,17032.0,0.07719644214375218,28.0,6
67,1,6,2,2,13828,110.68,15,2,1,2,19,2,0,0,0,0,0,0,1,4,1,0,10,24,0,0,12445.2,0.22735769602103492,49.5,3
29,1,7,1,1,8961,3.05,15,5,0,2,18,2,0,1,0,1,2,3,0,4,2,0,0,6,2,0,8961.0,0.006265278034551468,79.0,3
18,0,2,0,2,14098,24.64,51,5,0,2,38,1,1,1,0,1,3,3,1,4,0,0,0,1,1,0,14098.0,0.05061522976109776,104.0,6
71,0,8,0,0,5000,92.14,35,5,1,2,24,3,1,0,0,0,1,0,0,4,1,0,0,2,2,0,5000.0,0.18927302232904009,67.0,0
61,0,13,2,0,5668,1.91,11,4,0,1,39,2,1,0,1,1,3,0,0,1,2,0,10,33,1,0,5101.2,0.003923501982292886,74.5,0
22,1,13,1,1,9425,50.97,26,2,0,2,20,2,1,0,0,0,1,1,0,2,0,0,10,6,1,1,8482.5,0.10470203981019288,45.0,1
47,0,8,2,2,13852,25.81,22,4,0,2,24,1,0,0,0,1,1,1,0,2,0,0,5,19,3,0,13159.4,0.05301863149894209,47.0,1
47,0,1,0,0,6119,11.44,13,2,1,2,56,1,0,0,0,0,0,0,0,1,0,0,5,0,2,1,5813.05,0.023499928103366815,38.0,0
74,0,8,1,0,5000,47.26,40,2,0,1,55,2,0,1,1,1,3,2,1,4,1,0,15,29,2,0,4250.0,0.09708099669275487,112.5,5
34,1,1,2,1,9400,88.91,17,5,0,2,59,1,1,1,0,0,2,1,1,5,0,0,0,0,3,1,9400.0,0.1826379901809741,109.5,4
65,1,1,0,0,5000,31.49,33,5,0,2,2,2,0,0,0,1,1,3,0,4,0,1,0,28,1,0,5000.0,0.0646864279698445,56.0,3
64,0,7,0,0,5343,7.93,13,1,1,2,36,1,1,1,1,0,3,1,0,2,0,0,20,4,2,0,4274.400000000001,0.016289722889833814,83.0,1
40,1,1,0,1,9847,18.28,30,1,0,2,16,2,1,0,0,1,2,0,0,1,0,0,30,2,1,1,6892.9,0.03755058441691831,48.0,0
32,1,14,0,2,13721,199.1,33,4,0,0,35,3,0,0,0,1,1,1,2,4,0,0,5,29,1,0,13034.949999999999,0.4089891333374417,72.5,7
54,1,8,0,0,5337,5.89,10,3,1,0,7,1,0,0,0,0,0,0,1,1,0,0,5,0,1,0,5070.15,0.01209917627000267,13.5,3
38,1,14,1,2,13344,8.76,16,5,0,2,30,1,1,1,0,0,2,0,0,4,0,0,0,10,1,0,13344.0,0.017994700191039624,85.0,0
31,1,1,2,0,5575,231.16,19,5,1,2,35,1,1,1,0,0,2,1,0,5,2,0,10,16,1,0,5017.5,0.47484644933341547,97.5,1
19,1,15,0,0,5763,106.9,36,4,0,1,39,1,0,0,0,0,0,1,0,1,2,0,5,20,3,0,5474.849999999999,0.21959285963723013,29.5,1
28,1,1,2,0,5466,61.4,35,2,0,1,43,1,0,1,0,0,1,2,0,5,0,0,5,27,0,0,5192.7,0.1261272364988394,86.5,2
68,0,8,0,1,9113,8.18,16,5,1,1,16,1,0,1,0,1,2,3,0,1,1,0,20,3,3,0,7290.400000000001,0.016803270269715082,48.0,3
56,0,3,1,2,13423,13.76,16,1,1,2,16,1,1,0,0,1,2,1,0,4,3,0,20,10,2,0,10738.400000000001,0.028265647788664982,78.0,1
55,0,1,1,4,16403,9.93,22,5,0,0,24,1,0,0,0,1,1,0,0,1,1,0,20,1,0,0,13122.400000000001,0.020398101928883958,37.0,0
51,1,6,1,0,5771,49.84,4,5,1,1,14,1,1,1,0,0,2,1,0,5,1,0,0,8,2,0,5771.0,0.10238080565312957,87.0,1
55,1,7,1,0,6257,25.45,32,3,1,0,16,3,1,0,0,1,2,0,1,2,0,0,0,14,0,0,6257.0,0.052279123271913065,58.0,3
67,0,11,1,1,9233,2.45,11,5,0,2,32,1,0,1,0,1,2,0,0,5,1,0,10,11,3,0,8309.7,0.0050327643228364255,96.0,0
51,1,11,2,4,16598,17.22,20,3,1,1,52,4,1,1,0,1,3,0,0,4,0,0,0,5,2,0,16598.0,0.03537314352622173,111.0,0
35,0,16,1,3,12792,98.54,34,5,0,2,7,4,1,0,1,1,3,2,1,2,0,0,20,11,3,0,10233.6,0.20241983525400054,68.5,5
47,0,8,2,3,11372,79.49,24,3,1,0,25,1,1,0,1,1,3,1,0,2,0,0,5,32,1,0,10803.4,0.16328752490704793,77.5,1
32,1,6,2,1,9425,51.5,16,5,0,2,23,1,1,0,0,1,2,2,0,5,0,0,5,29,1,0,8953.75,0.10579076025554117,91.5,2
44,0,2,1,1,9931,4.47,9,1,0,2,2,1,0,0,1,1,2,0,0,2,3,0,0,19,1,1,9931.0,0.009182227152277069,51.0,0
68,0,8,1,0,5440,107.19,19,5,1,0,9,1,1,1,0,0,2,0,0,4,3,0,0,9,1,0,5440.0,0.2201885745978924,74.5,0
51,1,8,2,0,5300,38.23,17,5,1,1,37,1,1,1,1,0,3,0,0,1,3,0,10,11,1,0,4770.0,0.07853166533144347,73.5,0
69,1,0,0,3,11475,34.12,46,5,0,2,42,1,0,0,0,1,1,0,0,5,0,0,0,7,1,0,11475.0,0.07008894640619542,86.0,0
74,0,1,0,4,16403,135.95,11,5,0,0,32,2,0,0,0,0,0,0,1,4,3,0,15,22,0,0,13942.55,0.27926706517943345,56.0,3
55,1,1,0,1,9339,0.44,14,4,1,1,43,1,0,0,0,1,1,1,1,4,0,0,0,3,1,0,9339.0,0.0009038433885910314,76.5,4
50,1,8,0,1,9578,40.58,9,1,0,2,22,1,1,0,1,0,2,0,0,1,3,0,0,28,1,1,9578.0,0.08335901070232739,51.0,0
41,0,7,2,0,5339,78.33,17,1,0,2,18,2,1,0,0,0,1,4,0,5,0,0,15,32,1,0,4538.15,0.16090466506439885,74.0,4
32,0,8,0,0,5894,3.29,25,1,0,1,42,1,1,0,0,0,1,3,0,1,1,0,0,3,1,0,5894.0,0.006758283519237485,46.0,3
47,1,11,0,3,12984,22.09,10,4,0,2,46,1,1,0,0,0,1,1,0,1,1,0,0,14,1,0,12984.0,0.045377046486308824,48.0,1
72,0,15,0,1,10077,189.68,23,5,1,2,23,1,0,0,0,0,0,1,0,5,0,0,10,11,3,0,9069.300000000001,0.38963866806351555,61.5,1
59,1,1,1,0,5318,11.9,7,2,0,1,9,1,0,0,1,1,2,0,0,3,0,0,10,19,1,0,4786.2,0.02444485528234835,64.5,0
68,1,11,0,1,9398,37.88,29,3,1,2,27,2,1,0,0,1,2,3,0,2,1,0,0,33,1,1,9398.0,0.07781269899960971,63.5,3
34,1,14,2,1,9830,68.53,15,3,0,2,34,1,1,0,1,1,3,0,0,3,1,0,15,23,3,0,8355.5,0.14077360777305314,92.0,0
22,0,10,0,2,13838,24.75,16,5,1,2,9,2,1,1,0,0,2,1,1,5,3,0,5,15,1,0,13146.099999999999,0.05084119060824552,84.5,4
46,1,3,1,0,5081,26.2,34,5,0,2,21,3,1,0,0,0,1,3,0,3,1,0,10,34,0,0,4572.900000000001,0.05381976541155687,55.5,3
21,0,1,1,3,11306,3.27,15,3,0,0,17,1,0,1,0,0,1,0,0,5,0,0,5,30,2,1,10740.699999999999,0.006717199728846984,73.5,0
27,0,15,1,2,12861,10.54,23,2,0,1,5,2,0,0,1,0,1,1,1,3,1,1,0,6,1,0,12861.0,0.02165115753579425,47.5,4
73,0,8,1,4,17111,106.27,27,5,0,0,14,2,0,0,1,1,2,1,0,3,2,0,0,13,1,0,17111.0,0.21829872023992933,67.0,1
34,0,8,1,0,5000,85.27,33,5,0,2,18,1,1,0,0,0,1,3,0,4,1,0,30,31,3,0,3500.0,0.17516074032990284,64.0,3
27,1,1,0,1,9357,18.17,23,5,0,0,24,1,0,0,0,0,0,0,0,2,0,0,0,26,1,1,9357.0,0.03732462356977055,32.0,0
34,0,1,1,3,11841,24.04,16,1,0,1,51,3,0,0,0,0,0,0,1,1,1,0,20,22,2,0,9472.800000000001,0.04938271604938271,35.5,3
37,0,3,1,2,13068,29.03,14,1,1,2,9,2,0,0,0,0,0,0,0,4,0,0,0,24,1,0,13068.0,0.059633121751812825,44.5,0
41,1,1,1,4,15871,21.23,23,4,0,1,31,2,0,0,1,1,2,0,1,5,0,0,5,31,2,0,15077.449999999999,0.04361044349951727,95.5,3
22,0,6,2,1,9601,53.05,12,5,0,1,21,4,1,0,0,1,2,2,1,5,0,0,30,34,3,0,6720.7,0.10897475401080503,90.5,5
51,1,9,1,4,16386,0.65,25,1,1,1,35,1,0,0,0,0,0,1,1,1,0,1,0,8,1,0,16386.0,0.0013352231876912965,27.5,4
23,0,5,1,2,13944,106.08,22,3,1,2,26,1,1,1,0,1,3,0,0,4,1,0,5,20,1,0,13246.8,0.21790842423121956,98.0,0
70,1,1,2,4,15585,17.88,8,5,0,2,17,1,0,0,1,0,1,3,1,4,1,0,0,3,1,0,15585.0,0.036728908609108275,63.5,6
19,1,5,2,2,13359,102.93,7,5,0,2,4,1,1,0,1,1,3,0,0,2,1,0,5,17,0,1,12691.05,0.2114377272447156,67.0,0
30,0,1,1,4,16629,30.29,20,5,0,0,7,3,1,0,0,1,2,3,0,4,0,0,5,15,3,0,15797.55,0.06222140054641441,73.5,3
60,0,8,1,3,13862,74.88,17,1,0,0,3,2,1,0,0,1,2,1,2,4,1,0,0,11,2,0,13862.0,0.15381771122203733,71.5,7
60,0,14,1,2,13366,87.37,28,5,1,1,41,2,1,0,0,1,2,0,0,5,2,0,5,11,1,0,12697.699999999999,0.17947453832090549,100.5,0
65,1,8,0,1,9440,17.93,10,4,0,2,31,2,0,1,0,1,2,0,0,2,0,0,0,24,1,0,9440.0,0.036831618085084526,65.5,0
28,0,8,1,0,5558,51.13,27,1,1,2,21,1,1,1,1,1,4,1,2,2,1,0,0,30,1,1,5558.0,0.1050307101333169,90.5,7
68,0,3,2,1,9632,46.75,27,5,1,1,59,1,0,1,1,1,3,0,2,4,1,0,0,6,2,0,9632.0,0.09603336003779708,114.5,6
64,0,1,1,1,9397,32.31,8,1,0,0,14,1,0,0,1,1,2,1,1,4,0,0,10,22,1,0,8457.300000000001,0.06637086337585506,77.0,4
74,0,6,2,0,5339,31.7,17,5,0,2,44,1,1,0,0,1,2,1,0,1,0,0,10,32,1,1,4805.1,0.06511780776894475,62.0,1
40,0,1,1,0,5063,18.21,33,4,1,2,27,2,1,1,0,1,3,3,0,4,3,0,15,8,2,0,4303.55,0.03740679115055155,98.5,3
72,1,1,1,0,5505,18.57,24,5,0,2,38,1,1,0,0,1,2,0,0,3,2,0,15,35,1,0,4679.25,0.03814629937758057,79.0,0
33,0,1,2,1,9626,39.72,19,5,0,1,23,2,1,0,0,0,1,0,0,5,1,0,30,16,1,0,6738.2,0.08159240771553583,76.5,0
48,0,1,1,0,5749,1.64,28,4,0,2,10,1,1,1,1,1,4,2,1,3,1,0,0,11,3,0,5749.0,0.003368870812021117,95.0,5
28,1,1,1,1,9036,135.65,15,5,0,1,46,1,1,1,1,0,3,2,1,2,1,0,5,33,0,0,8584.199999999999,0.2786508083235759,88.0,5
71,1,0,2,2,12953,52.49,16,5,0,1,21,1,1,1,0,0,2,1,0,5,1,0,5,7,1,0,12305.349999999999,0.107824407879871,90.5,1
33,0,7,0,0,5706,29.3,21,5,0,1,50,1,0,1,0,0,1,1,1,3,2,0,5,17,1,0,5420.7,0.06018775292208459,70.0,4
25,0,14,1,1,9180,3.19,34,1,0,1,3,1,1,0,0,0,1,2,0,4,0,0,0,19,2,0,9180.0,0.006552864567284978,56.5,2
21,0,8,2,3,11923,49.71,10,4,0,1,48,2,1,0,0,1,2,3,0,3,0,0,0,10,1,0,11923.0,0.1021137610155913,84.0,3
57,1,7,0,4,16916,0.9,24,1,0,1,11,4,1,0,1,0,2,1,1,3,2,0,5,24,1,0,16070.199999999999,0.0018487705675725643,65.5,4
21,0,5,0,2,13370,56.95,16,5,0,2,13,1,1,0,1,1,3,2,0,4,1,0,0,18,0,0,13370.0,0.11698609313695282,91.5,2
73,1,2,2,3,10047,3.76,32,5,0,1,9,1,0,0,1,0,1,1,0,5,0,0,0,16,1,0,10047.0,0.007723752593414268,69.5,1
42,1,8,2,2,13578,53.37,27,5,0,0,46,2,1,0,1,1,3,1,0,1,3,0,10,22,1,0,12220.2,0.10963209465705305,78.0,1
20,1,5,1,3,11993,26.03,19,5,1,0,15,1,0,0,0,0,0,2,1,4,0,0,5,30,1,0,11393.35,0.05347055319323761,47.5,5
49,0,3,2,3,13495,54.33,25,5,1,2,51,1,1,0,0,0,1,1,0,4,1,0,30,2,1,0,9446.5,0.11160411659579712,80.5,1
20,0,1,1,0,5231,7.45,14,5,1,0,2,3,0,0,0,0,0,1,0,5,1,0,0,11,2,0,5231.0,0.015303711920461783,51.0,1
44,0,3,1,1,9410,6.24,13,5,1,1,24,1,1,1,0,0,2,2,0,2,3,0,30,15,2,0,6587.0,0.012818142601836446,62.0,2
46,0,8,1,1,9368,14.21,45,5,1,2,13,2,0,1,1,1,3,2,0,4,0,0,0,10,0,0,9368.0,0.029190033072451264,91.5,2
49,1,16,1,0,5706,26.51,16,4,1,2,24,1,1,0,0,1,2,1,0,1,1,0,0,30,2,0,5706.0,0.05445656416260965,52.0,1
67,1,14,2,0,5464,14.59,21,1,1,1,23,2,1,0,0,1,2,1,0,1,1,0,10,26,1,0,4917.6,0.029970625089870792,51.5,1
68,1,6,2,1,9583,4.28,16,5,1,1,50,3,1,0,0,0,1,1,2,4,1,0,10,16,1,0,8624.7,0.008791931143567307,80.0,7
36,1,1,2,3,11959,19.65,7,5,0,1,34,1,1,0,0,1,2,3,1,4,0,0,5,27,1,0,11361.05,0.04036482405866765,87.0,6
38,0,8,1,1,9477,61.17,9,3,0,2,3,2,0,0,1,0,1,1,0,4,1,0,0,1,2,0,9477.0,0.12565477290934862,56.5,1
22,0,2,1,3,11558,43.74,23,5,0,2,14,1,1,1,0,0,2,0,0,4,3,0,0,17,0,0,11558.0,0.08985024958402663,77.0,0
35,0,11,2,4,16556,165.28,5,5,1,0,26,1,0,0,0,0,0,1,1,2,3,0,0,12,2,0,16556.0,0.33951644378710377,33.0,4
45,1,8,0,4,17321,28.63,12,4,0,2,1,1,1,0,0,0,1,2,1,4,1,0,15,15,2,0,14722.85,0.05881144594400279,55.5,5
59,1,10,1,1,9890,20.23,26,5,1,0,29,1,0,0,1,0,1,2,0,5,0,0,20,2,2,0,7912.0,0.04155625397999219,79.5,2
39,1,11,1,2,14226,59.16,22,1,0,0,12,1,1,0,0,0,1,5,0,5,0,0,15,13,2,0,12092.1,0.12152585197510321,71.0,5
38,0,8,0,0,5217,26.55,15,5,0,1,5,1,0,0,0,1,1,0,1,2,0,0,0,20,1,0,5217.0,0.05453873174339065,37.5,3
23,0,1,1,2,14374,48.16,15,5,0,1,51,1,1,0,0,0,1,1,1,3,0,0,15,23,1,0,12217.9,0.09892976726032743,70.5,4
18,1,8,0,3,12940,146.21,9,1,1,0,52,1,1,1,0,1,3,0,0,2,0,1,30,3,1,0,9058.0,0.3003430496497607,91.0,0
22,0,5,2,2,13884,34.58,42,1,0,2,41,1,0,0,1,0,1,0,0,4,0,0,10,33,3,0,12495.6,0.07103387358517696,75.5,0
58,1,4,1,1,9830,34.48,10,5,0,0,55,2,0,0,1,1,2,3,2,3,0,0,0,33,1,0,9830.0,0.07082845463322446,87.5,9
29,1,7,1,2,13826,74.62,30,5,1,2,7,3,1,0,0,0,1,0,0,3,1,0,0,6,0,1,13826.0,0.15328362194696082,48.5,0
43,1,12,1,1,9526,70.55,0,2,1,1,35,1,0,0,0,1,1,0,1,1,0,0,0,4,2,0,9526.0,0.1449230706024938,42.5,3
63,0,3,1,4,16310,36.31,28,1,0,1,7,2,0,1,1,0,2,1,0,5,2,0,5,35,1,0,15494.5,0.07458762145395535,83.5,1
51,0,5,0,4,16757,3.35,29,1,0,2,47,1,0,1,0,1,2,2,1,2,0,0,5,19,2,1,15919.15,0.0068815348904089895,73.5,5
66,0,8,2,0,5512,197.61,10,5,1,2,25,1,0,1,0,0,1,3,0,2,1,0,5,3,0,0,5236.4,0.40592839095334937,47.5,3
31,0,10,2,2,13078,23.69,13,4,1,1,32,1,1,1,0,1,3,0,2,2,3,0,10,22,1,0,11770.2,0.04866374971754894,81.0,6
43,0,1,0,2,13786,19.04,30,5,0,2,28,1,1,1,0,1,3,0,0,4,1,0,5,32,1,1,13096.699999999999,0.03911176845175736,99.0,0
62,1,7,1,0,5365,199.63,8,1,0,2,43,1,1,0,0,0,1,1,0,4,1,0,0,3,1,0,5365.0,0.41007785378279,76.5,1
44,1,4,2,4,17303,102.84,24,5,1,0,26,4,1,1,0,1,3,1,0,1,3,0,0,17,1,1,17303.0,0.21125285018795834,68.0,1
26,0,1,2,1,9457,20.04,13,5,1,2,57,2,0,0,0,0,0,3,0,2,1,0,5,3,1,1,8984.15,0.041165957971282426,48.5,3
43,0,2,0,4,17361,18.43,29,2,0,1,10,1,1,1,0,1,3,0,1,3,3,0,20,34,1,0,13888.800000000001,0.03785871284484706,80.0,3
74,0,8,1,2,13775,63.82,38,5,0,0,33,2,1,0,1,0,2,2,0,5,3,0,10,30,0,0,12397.5,0.13109837513609005,96.5,2
64,0,6,2,1,9656,20.35,9,1,0,2,9,1,1,0,0,0,1,1,0,4,0,0,0,20,2,0,9656.0,0.0418027567223352,59.5,1
74,1,8,0,4,16659,14.48,25,2,0,2,35,4,0,0,0,0,0,1,0,3,0,0,5,27,1,0,15826.05,0.029744664242723033,47.5,1
39,0,2,1,0,5427,194.78,29,5,0,0,6,2,0,0,1,0,1,1,1,1,1,0,0,6,1,1,5427.0,0.4001150346130934,28.0,4
64,0,8,1,3,12297,41.7,0,3,0,2,18,1,1,0,0,1,2,1,0,2,1,0,0,13,1,1,12297.0,0.08565970296419548,59.0,1
73,0,8,2,4,17040,71.88,30,5,0,2,4,2,0,0,0,1,1,0,0,1,1,0,15,0,2,1,14484.0,0.1476551426634621,27.0,0
47,1,1,1,3,11929,62.42,23,5,0,2,19,1,0,0,0,1,1,3,0,3,1,0,5,3,2,1,11332.55,0.12822250980875496,54.5,3
60,1,1,2,2,13796,70.43,26,5,0,2,6,2,1,1,0,0,2,1,0,1,3,0,0,27,2,1,13796.0,0.1446765678601508,43.0,1
65,0,1,0,4,17664,116.85,1,5,0,2,33,1,1,1,0,0,2,2,0,4,1,0,15,32,1,0,15014.4,0.24003204535650458,86.5,2
34,0,5,2,4,17737,34.73,27,2,1,0,4,2,0,0,0,1,1,2,0,3,1,0,20,31,2,0,14189.6,0.07134200201310573,47.0,2
43,1,11,2,1,9839,69.99,18,5,1,2,33,2,1,0,0,1,2,0,2,3,3,0,0,35,2,1,9839.0,0.14377272447155973,76.5,6
53,1,8,2,1,9222,79.68,8,2,1,2,49,3,1,1,0,0,2,3,0,5,1,0,5,24,2,0,8760.9,0.1636778209157577,104.5,3
18,0,1,1,2,12542,146.3,27,5,0,2,4,1,1,1,0,1,3,1,0,5,1,0,15,21,1,0,10660.699999999999,0.30052792670651796,97.0,1
25,1,12,1,0,5026,62.43,28,5,1,2,21,1,1,0,0,1,2,2,0,4,1,0,0,4,1,0,5026.0,0.1282430517039502,80.5,2
66,1,10,0,0,5365,111.57,19,1,1,1,28,1,1,0,0,1,2,0,0,4,0,0,20,13,2,0,4292.0,0.2291859246934122,84.0,0
52,1,0,2,2,13778,4.99,23,5,1,2,7,1,0,0,1,0,1,0,1,4,2,0,30,24,3,0,9644.599999999999,0.010250405702430106,58.5,3
69,1,10,1,0,5056,6.74,18,5,0,2,8,1,1,0,1,1,3,2,1,1,1,0,5,4,2,1,4803.2,0.013845237361598981,59.0,5
32,1,1,1,3,12182,8.62,6,5,0,2,35,2,1,0,0,1,2,1,0,5,1,1,5,4,3,0,11572.9,0.017707113658306115,97.5,1
64,0,8,2,4,17257,7.82,18,4,1,2,12,2,1,0,0,1,2,0,1,3,0,0,5,3,1,0,16394.149999999998,0.01606376204268606,66.0,3
73,1,1,0,2,13215,4.58,31,5,0,2,19,2,1,1,0,1,3,2,0,2,0,0,15,11,2,0,11232.75,0.009408187999424828,74.5,2
39,1,12,0,1,9217,6.54,32,5,1,1,42,1,0,0,0,1,1,0,0,2,0,0,5,31,1,0,8756.15,0.013434399457693967,56.0,0
31,1,14,1,1,9384,274.96,11,1,1,2,52,1,1,0,0,0,1,0,0,1,0,0,10,15,1,1,8445.6,0.5648199502886135,51.0,0
43,0,11,0,1,9283,15.89,22,5,1,2,38,4,0,1,0,0,1,0,2,2,3,0,10,5,1,1,8354.7,0.032641071465253385,54.0,6
45,1,8,2,2,13726,32.51,20,5,0,2,18,2,1,0,0,0,1,1,0,1,1,0,5,21,1,1,13039.699999999999,0.06678170127976006,34.0,1
40,1,8,2,1,9467,86.19,24,5,0,2,28,2,0,1,1,0,2,0,0,4,0,0,20,20,2,0,7573.6,0.1770505946878659,84.0,0
